Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
few-shot,GNA12-GPR55-RGS2 complex,Human,Limited evidence of direct complex formation in other organisms,"This protein complex is involved in G protein-coupled receptor signaling, specifically in cellular signal transduction and regulation of G protein alpha subunit activity. The complex plays a crucial role in modulating intracellular signaling pathways, particularly in processes related to cell migration, inflammation, and receptor-mediated signal transduction.",1. G protein alpha-12 subunit; 2. G protein-coupled receptor 55; 3. Regulator of G protein signaling 2,1. GNA12; 2. GPR55; 3. RGS2,
contextual,GNA12-GPR55-RGS2 complex,Human,N/A,"This protein complex is involved in G protein-coupled receptor (GPCR) signaling, specifically mediating signal transduction and regulation of cellular processes through G protein alpha subunit and RGS protein interactions.",1. G protein alpha 12 subunit; 2. G protein-coupled receptor 55; 3. Regulator of G protein signaling 2,1. GNA12; 2. GPR55; 3. RGS2; Self Confidence Score Calculation:; - Consistency across databases: 0.7; - Supporting experimental data: 0.6; - Protein-gene mapping accuracy: 0.8; - Organism specificity: 1.0,(0.7 × 0.3) + (0.6 × 0.3) + (0.8 × 0.25) + (1.0 × 0.15); = 0.21 + 0.18 + 0.20 + 0.15; = **0.74**
zero-shot,Melanocortin Receptor 3 (MC3R) Complex,Homo sapiens (Humans),N/A (primarily studied in humans),"Regulation of energy homeostasis, metabolism, and food intake by mediating melanocortin signaling pathways involved in appetite control and body weight regulation.",1. Melanocortin Receptor 3 (MC3R),1. MC3R gene (located on chromosome 20q13.2); Self Confidence Score Calculation:; (Consistency across sources: 0.3 × 0.85) + (Experimental data: 0.3 × 0.75) + (Protein-gene mapping: 0.25 × 0.90) + (Organism specificity: 0.15 × 1.00); = 0.255 + 0.225 + 0.225 + 0.15; = 0.855,0.855
few-shot,Melanocortin Receptor 3 (MC3R) Complex,Human,N/A,"Plays a critical role in energy homeostasis, regulating food intake, body weight, and metabolism through binding of melanocortin peptides. It is primarily involved in mediating appetite suppression and energy expenditure.",- Melanocortin receptor 3,- MC3R (Melanocortin 3 Receptor gene),
contextual,Melanocortin Receptor 3 (MC3R),Human,"Limited evidence of functional homologs in mice, but specific human variant is most significant","Melanocortin receptor 3 is a G protein-coupled receptor involved in regulating energy homeostasis, food intake, and body weight. It plays a critical role in metabolism by mediating the effects of melanocortins, particularly in hypothalamic regions controlling appetite and energy balance.",- Melanocortin receptor 3 (MC3R),- MC3R (located on chromosome 20q13.2),0.255 + 0.225 + 0.25 + 0.1425 = **0.8725**
zero-shot,ATP1A1-TSHR Complex,Human,None specifically identified,Mediates signal transduction and cellular communication related to thyroid hormone receptor activation and sodium-potassium ion exchange,1. ATP1A1 (Na+/K+-ATPase subunit alpha-1); 2. TSHR (Thyroid Stimulating Hormone Receptor),1. ATP1A1 gene; 2. TSHR gene; Self Confidence Score Calculation:; (Consistency across databases × 0.3) + (Supporting experimental data × 0.3) + (Protein-gene mapping accuracy × 0.25) + (Organism specificity × 0.15); = (0.7 × 0.3) + (0.6 × 0.3) + (0.8 × 0.25) + (1.0 × 0.15); = 0.21 + 0.18 + 0.20 + 0.15; = 0.74,0.74
few-shot,ATP1A1-TSHR complex,Human,Limited evidence of this specific complex in other organisms,This complex is involved in the regulation of thyroid-stimulating hormone receptor (TSHR) signaling and potentially modulates thyroid hormone production and cell metabolism through interaction with the sodium-potassium ATPase alpha 1 subunit.,1. Sodium-potassium-exchanging ATPase subunit alpha-1; 2. Thyroid-stimulating hormone receptor,1. ATP1A1 (encoding the sodium-potassium ATPase alpha 1 subunit); 2. TSHR (encoding the thyroid-stimulating hormone receptor),
contextual,ATP1A1-TSHR Complex,Human,Limited data on direct orthologous complex in other organisms,"The ATP1A1-TSHR complex is involved in thyroid hormone signaling and regulation of sodium/potassium ATPase activity. Specifically, it mediates interactions between the sodium-potassium pump (ATP1A1) and the thyroid-stimulating hormone receptor (TSHR), which plays a crucial role in regulating thyroid gland function and metabolism.",1. Sodium/Potassium-transporting ATPase subunit alpha-1; 2. Thyroid-stimulating hormone receptor,1. ATP1A1 (encodes sodium/potassium-transporting ATPase subunit alpha-1); 2. TSHR (encodes thyroid-stimulating hormone receptor),
zero-shot,ADRA1B-CXCR4 Complex,Human,None definitively confirmed,The ADRA1B-CXCR4 complex is involved in cell signaling and potentially plays a role in cellular migration and neurotransmitter response mechanisms.,1. Alpha-1B adrenergic receptor (ADRA1B); 2. C-X-C chemokine receptor type 4 (CXCR4),1. ADRA1B gene; 2. CXCR4 gene; Self Confidence Score Calculation:; (Consistency across sources: 0.3 * 0.6) + (Experimental data support: 0.3 * 0.5) + (Protein-gene mapping accuracy: 0.25 * 0.8) + (Organism specificity: 0.15 * 0.7); = 0.18 + 0.15 + 0.20 + 0.105; = 0.635,0.635
few-shot,ADRA1B-CXCR4 complex,Human,N/A,"The ADRA1B-CXCR4 complex is involved in cellular signaling and potentially plays a role in modulating cell migration, inflammation, and neuronal processes through interactions between adrenergic and chemokine receptors.",1. Alpha-1B adrenergic receptor (ADRA1B); 2. C-X-C chemokine receptor type 4 (CXCR4),1. ADRA1B; 2. CXCR4,(0.75 × 0.3) + (0.60 × 0.3) + (0.85 × 0.25) + (1.00 × 0.15) = 0.225 + 0.18 + 0.2125 + 0.15 = **0.7675**
contextual,,,,,,,
zero-shot,Bdkrb2-Tbxa2r G-protein coupled receptor complex,Human,None definitively identified,"Signal transduction and inflammatory response regulation, involved in mediating bradykinin and thromboxane A2 signaling pathways",1. Bradykinin Receptor B2 (Bdkrb2); 2. Thromboxane A2 Receptor (Tbxa2r),1. BDKRB2 (Bradykinin Receptor B2 gene); 2. TBXA2R (Thromboxane A2 Receptor gene); Self Confidence Score Calculation:; (Consistency across sources: 0.3 × 0.75) + (Experimental data: 0.3 × 0.60) + (Protein-gene mapping: 0.25 × 0.85) + (Organism specificity: 0.15 × 1.00) = 0.225 + 0.180 + 0.213 + 0.150 = 0.768,0.768
few-shot,,,,,,,
contextual,Bdkrb2-Tbxa2r complex,Human,N/A,"G protein-coupled receptor complex involved in inflammatory and vascular signaling pathways, with potential roles in modulating bradykinin and thromboxane A2 receptor interactions",1. Bradykinin receptor B2; 2. Thromboxane A2 receptor,1. BDKRB2 (Bradykinin receptor B2 gene); 2. TBXA2R (Thromboxane A2 receptor gene); Self Confidence Score Calculation:; - Consistency across databases: 0.85 × 0.30 = 0.255; - Supporting experimental data: 0.75 × 0.30 = 0.225; - Protein-gene mapping accuracy: 1.0 × 0.25 = 0.25; - Organism specificity: 1.0 × 0.15 = 0.15; Final Confidence Score: 0.255 + 0.225 + 0.25 + 0.15 = **0.88**,
zero-shot,Drd3-Ednrb Complex,Human,None definitively identified,"Signal transduction and G-protein coupled receptor signaling, potentially involved in neural and endocrine pathway interactions",1. Dopamine Receptor D3 (Drd3); 2. Endothelin Receptor Type B (Ednrb),1. DRD3 (Dopamine Receptor D3 gene); 2. EDNRB (Endothelin Receptor Type B gene); Self Confidence Score Calculation:; (Consistency of Information × 0.3) + (Supporting Experimental Data × 0.3) + (Protein-Gene Mapping Accuracy × 0.25) + (Organism Specificity × 0.15); = (0.4 × 0.3) + (0.5 × 0.3) + (0.6 × 0.25) + (0.7 × 0.15); = 0.12 + 0.15 + 0.15 + 0.105; = 0.525,0.53
few-shot,,,,,,,Calculation impossible due to insufficient data
contextual,Drd3-Ednrb complex,Human,Limited evidence of similar complex in other organisms,"This protein complex is involved in G protein-coupled receptor signaling, potentially playing a role in neurological and endocrine processes involving dopamine and endothelin receptor interactions.",1. Dopamine D3 receptor; 2. Endothelin B receptor,1. DRD3 (Dopamine Receptor D3); 2. EDNRB (Endothelin Receptor Type B),
zero-shot,Egflam-Gpr179 Complex,Homo sapiens (Human),None conclusively identified,Limited definitive research available; appears to be involved in potential cellular signaling or neurological processes,1. Epidermal Growth Factor-Like and Fibronectin Type III-Like Domain Containing Protein (EGFLAM); 2. G Protein-Coupled Receptor 179 (GPR179),1. EGFLAM; 2. GPR179; Self Confidence Score Calculation:; (Consistency across databases: 0.15/0.30) + (Experimental data support: 0.10/0.30) + (Protein-gene mapping accuracy: 0.20/0.25) + (Organism specificity: 0.10/0.15) = 0.55/1.00,0.55
few-shot,Egflam-Gpr179 complex,Human,Limited evidence of direct conservation in other model organisms; potential orthologous relationships require further investigation; Self Confidence Score Calculation:; - Consistency across sources (0.3): 0.65; - Supporting experimental data (0.3): 0.55; - Protein-gene mapping accuracy (0.25): 0.80; - Organism specificity (0.15): 0.90,"Cell signaling and potential adhesion regulation, with specific involvement in retinal development and neuronal signal transmission","1. Epidermal Growth Factor-Like, Flame Repeat Containing (EGFLAM); 2. G Protein-Coupled Receptor 179 (GPR179)",1. EGFLAM; 2. GPR179,(0.65 × 0.3) + (0.55 × 0.3) + (0.80 × 0.25) + (0.90 × 0.15) = 0.195 + 0.165 + 0.20 + 0.135 = **0.695**; Note: The relatively moderate confidence score reflects limited comprehensive research specifically on this protein complex.
contextual,Egflam-Gpr179 complex,Human,Limited evidence of presence in other organisms,Currently limited detailed information is available about the specific functional interactions between Egflam and Gpr179 proteins.,"1. Egflam (EGF-like, fibronectin type-III and laminin G domain-containing protein); 2. Gpr179 (G protein-coupled receptor 179)",1. EGFLAM; 2. GPR179,
zero-shot,Ceacam1-4L-Syk-Tlr4 Signaling Complex,Human,Mouse (limited evidence),"Cellular signaling and immune response regulation, particularly involved in modulating immune cell interactions and inflammatory responses","1. Ceacam1-4L (Carcinoembryonic Antigen-related Cell Adhesion Molecule 1, long isoform); 2. Syk (Spleen Tyrosine Kinase); 3. Tlr4 (Toll-Like Receptor 4)",1. CEACAM1 (gene encoding Ceacam1-4L); 2. SYK (gene encoding Syk); 3. TLR4 (gene encoding Tlr4); Self Confidence Score Calculation:; (Consistency across databases × 0.3) + (Supporting experimental data × 0.3) + (Protein-gene mapping accuracy × 0.25) + (Organism specificity × 0.15); = (0.6) + (0.5) + (0.7) + (0.8); = 0.62,0.62
few-shot,Ceacam1-4L-Syk-Tlr4 signaling complex,Human,Limited evidence of exact complex in other species,"Involved in immune cell signaling, particularly in regulating inflammatory responses and cell adhesion through integrated receptor and kinase interactions",1. Carcinoembryonic antigen-related cell adhesion molecule 1 (CEACAM1); 2. Long isoform of Ceacam1 (4L variant); 3. Spleen tyrosine kinase (Syk); 4. Toll-like receptor 4 (TLR4),1. CEACAM1; 2. CEACAM1 (4L isoform); 3. SYK; 4. TLR4,
contextual,Ceacam1-4L-Syk-Tlr4 complex,Human,"Limited evidence suggests potential presence in mouse models, but definitive cross-species confirmation requires further research.","Involved in immune cell signaling and regulation, particularly in cell adhesion, inflammatory response, and receptor-mediated signal transduction",1. Carcinoembryonic antigen-related cell adhesion molecule 1 (CEACAM1); 2. TLR4 (Toll-like receptor 4); 3. Spleen tyrosine kinase (Syk); 4. 4L variant of CEACAM1; Corresponding Genes:; 1. CEACAM1; 2. TLR4; 3. SYK; 4. CEACAM1 (4L variant),,(0.7 × 0.30) + (0.6 × 0.30) + (0.9 × 0.25) + (0.8 × 0.15) = 0.21 + 0.18 + 0.225 + 0.12 = **0.735**
zero-shot,KDR-NRP1-VEGF165 Signaling Complex,Homo sapiens (Human),None specifically confirmed,"Mediates angiogenesis, cell migration, and vascular development through VEGF-dependent signaling pathways, primarily involved in endothelial cell proliferation and survival","1. VEGF165 (Vascular Endothelial Growth Factor 165); 2. KDR (Kinase Insert Domain Receptor, also known as VEGFR-2); 3. NRP1 (Neuropilin-1)",1. VEGFA (encoding VEGF165); 2. KDR (encoding KDR/VEGFR-2); 3. NRP1 (encoding Neuropilin-1); Self Confidence Score Calculation:; (Consistency across sources: 0.3 * 0.85) + (Experimental data support: 0.3 * 0.90) + (Protein-gene mapping accuracy: 0.25 * 0.95) + (Organism specificity: 0.15 * 1.00) = 0.89,0.89
few-shot,KDR-NRP1-VEGF165 complex,Human,"Limited evidence in mouse models, but primarily characterized in humans","This protein complex plays a crucial role in angiogenesis, vascular development, and endothelial cell signaling. It mediates the interaction between vascular endothelial growth factor (VEGF) and its receptors, facilitating cell proliferation, migration, and survival of endothelial cells.",1. Kinase insert domain receptor (KDR/VEGFR-2); 2. Neuropilin-1 (NRP1); 3. Vascular endothelial growth factor 165 (VEGF165); Corresponding Genes:; 1. KDR (Kinase Insert Domain Receptor); 2. NRP1 (Neuropilin 1); 3. VEGFA (Vascular Endothelial Growth Factor A),,
contextual,KDR-NRP1-VEGF165 complex,Human,N/A (Complex most extensively studied in humans),"This protein complex plays a critical role in angiogenesis, mediating vascular endothelial growth factor (VEGF) signaling and promoting blood vessel formation through receptor tyrosine kinase interactions.",1. Kinase insert domain receptor (KDR/VEGFR-2); 2. Neuropilin-1 (NRP1); 3. Vascular endothelial growth factor 165 (VEGF165),1. KDR (Gene encoding VEGFR-2); 2. NRP1 (Gene encoding Neuropilin-1); 3. VEGFA (Gene encoding VEGF165 isoform),
zero-shot,NRP1-VEGF121 Complex,Homo sapiens (Human),None specifically identified for this precise complex configuration,"The NRP1-VEGF121 complex plays a critical role in mediating vascular endothelial growth factor (VEGF) signaling, particularly in angiogenesis, neuronal guidance, and tumor progression. It acts as a co-receptor that enhances VEGF binding and signal transduction.",1. Neuropilin-1 (NRP1); 2. Vascular Endothelial Growth Factor 121 (VEGF121),1. NRP1 gene (located on chromosome 10q23.1); 2. VEGFA gene (located on chromosome 6p21.1); Self Confidence Score Calculation:; (0.3 * 0.85) + (0.3 * 0.80) + (0.25 * 0.90) + (0.15 * 1.00) = 0.255 + 0.240 + 0.225 + 0.150 = 0.87,0.87
few-shot,NRP1-VEGF121 complex,Human,N/A (most extensively studied in humans),"Mediates vascular endothelial growth factor (VEGF) signaling, critical for angiogenesis, neuronal guidance, and tumor progression by facilitating VEGF binding and signal transduction",1. Neuropilin-1 (NRP1); 2. Vascular Endothelial Growth Factor 121 (VEGF121),1. NRP1 gene; 2. VEGF gene,
contextual,NRP1-VEGF121 complex,Human,N/A,"A critical signaling complex involved in angiogenesis, neuronal guidance, and vascular development through receptor-ligand interaction and signal transduction.",1. Neuropilin-1 (NRP1); 2. Vascular Endothelial Growth Factor 121 (VEGF121),1. NRP1 (Neuropilin-1); 2. VEGFA (Vascular Endothelial Growth Factor A); Self Confidence Score Calculation:; - Consistency across databases: 0.85 × 0.3 = 0.255; - Supporting experimental data: 0.90 × 0.3 = 0.270; - Protein-gene mapping accuracy: 1.00 × 0.25 = 0.250; - Organism specificity: 1.00 × 0.15 = 0.150; Total Self Confidence Score: 0.255 + 0.270 + 0.250 + 0.150 = **0.925**; The high confidence score reflects robust scientific understanding of this well-studied human protein interaction complex.,
zero-shot,KDR-VEGF165 Complex,Homo sapiens (Human),None specified for this specific complex variant,"Mediates angiogenesis and vascular permeability through receptor-ligand interaction, promoting endothelial cell proliferation, migration, and survival","1. VEGF165 (Vascular Endothelial Growth Factor 165); 2. KDR (Kinase Insert Domain Receptor, also known as VEGFR-2)",1. VEGFA (encodes VEGF165); 2. KDR (encodes KDR protein); Self Confidence Score Calculation:; (Consistency of sources * 0.3) + (Supporting experimental data * 0.3) + (Protein-gene mapping accuracy * 0.25) + (Organism specificity * 0.15); = (0.85 * 0.3) + (0.80 * 0.3) + (0.90 * 0.25) + (1.00 * 0.15); = 0.255 + 0.240 + 0.225 + 0.150; = 0.87,0.87
few-shot,KDR-VEGF165 complex,Human,N/A (most extensively studied in humans),"This protein complex is crucial in angiogenesis, mediating endothelial cell proliferation, migration, and survival through vascular endothelial growth factor (VEGF) signaling. It plays a critical role in blood vessel formation, tumor angiogenesis, and wound healing processes.",1. Kinase insert domain receptor (KDR/VEGFR-2); 2. Vascular endothelial growth factor 165 (VEGF165),1. KDR (Kinase Insert Domain Receptor); 2. VEGFA (Vascular Endothelial Growth Factor A),
contextual,KDR-VEGF165 complex,Human; 1.0 × 0.15 = 0.150,N/A (analysis focused specifically on human complex),"A crucial signaling complex involved in angiogenesis, vasculogenesis, and endothelial cell proliferation and migration. The complex mediates cellular responses to vascular endothelial growth factor (VEGF) through receptor tyrosine kinase activation.",1. Kinase insert domain receptor (KDR/VEGFR-2); 2. Vascular endothelial growth factor 165 (VEGF165); 1.0 × 0.25 = 0.250,1. KDR (gene encoding the receptor protein); 2. VEGFA (gene encoding VEGF165 isoform),
zero-shot,FLT4-VEGFC Receptor-Ligand Complex,Homo sapiens (Human),None specifically identified,"Mediates lymphangiogenesis and vascular development through receptor tyrosine kinase signaling, specifically involved in lymphatic vessel growth and endothelial cell proliferation","1. VEGFC (Vascular Endothelial Growth Factor C); 2. FLT4 (Fms-Like Tyrosine Kinase 4, also known as VEGFR-3)",1. VEGFC gene; 2. FLT4 gene; Self Confidence Score Calculation:; (0.3 * 0.85) + (0.3 * 0.80) + (0.25 * 0.90) + (0.15 * 1.00) = 0.255 + 0.240 + 0.225 + 0.150 = 0.87,0.87
few-shot,FLT4-VEGFC complex,Human,N/A,"This protein complex plays a crucial role in lymphangiogenesis (formation of new lymphatic vessels), lymphatic vessel growth, and maintenance of the lymphatic system. The VEGFC ligand binds to the FLT4 (VEGFR-3) receptor, activating signaling pathways that promote lymphatic endothelial cell proliferation, migration, and survival.",1. Vascular Endothelial Growth Factor Receptor 3 (FLT4/VEGFR-3); 2. Vascular Endothelial Growth Factor C (VEGFC),1. FLT4 (Fms Related Tyrosine Kinase 4); 2. VEGFC (Vascular Endothelial Growth Factor C),(0.95 × 0.3) + (0.90 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.27 + 0.25 + 0.15 = **0.955**
contextual,FLT4-VEGFC complex,Human,Mouse (closely related model organism),"This protein complex is critical for lymphangiogenesis, the process of new lymphatic vessel formation. The VEGFC ligand binds to the FLT4 receptor (also known as VEGFR3), initiating signaling cascades that promote lymphatic endothelial cell proliferation, migration, and survival.",1. Vascular Endothelial Growth Factor Receptor 3 (FLT4/VEGFR3); 2. Vascular Endothelial Growth Factor C (VEGFC),1. FLT4 (Fms Related Receptor Tyrosine Kinase 4); 2. VEGFC (Vascular Endothelial Growth Factor C); Self Confidence Score Calculation:; - Consistency across databases: 0.90 × 0.30 = 0.27; - Supporting experimental data: 0.85 × 0.30 = 0.255; - Protein-gene mapping accuracy: 1.00 × 0.25 = 0.25; - Organism specificity: 1.00 × 0.15 = 0.15; Total Self Confidence Score: 0.27 + 0.255 + 0.25 + 0.15 = **0.925**,
zero-shot,Integrin α3β1 Adhesion Complex,Human,Mouse,"Cell-matrix adhesion, signal transduction, cell migration, and maintenance of cell-extracellular matrix interactions",1. Integrin Alpha-3; 2. Integrin Beta-1,1. ITGA3 (Integrin Alpha-3 gene); 2. ITGB1 (Integrin Beta-1 gene); Self Confidence Score Calculation:; (Consistency across sources: 0.3 × 0.85) + (Experimental data: 0.3 × 0.90) + (Protein-gene mapping: 0.25 × 0.95) + (Organism specificity: 0.15 × 1.00) = 0.255 + 0.270 + 0.238 + 0.150 = 0.913,0.91
few-shot,Integrin alpha-3/beta-1 (ITGA3-ITGB1) complex,Human,Mice (highly conserved complex),"Cell adhesion complex crucial for cell-extracellular matrix interactions, particularly in epithelial tissue attachment, wound healing, and cell migration processes. Specifically mediates attachment to laminin-332 and plays a critical role in cell surface interactions.",1. Integrin alpha-3 (ITGA3); 2. Integrin beta-1 (ITGB1),1. ITGA3 (Integrin Subunit Alpha 3); 2. ITGB1 (Integrin Subunit Beta 1),
contextual,ITGA3-ITGB1 integrin complex,Human; 1.00 × 0.15 = 0.15,Mouse,"Cell adhesion complex that mediates cell-matrix interactions, enables cell attachment to extracellular matrix components, and facilitates signal transduction in tissue environments, particularly important in epithelial cell migration and wound healing.",1. Integrin alpha-3; 2. Integrin beta-1; 1.00 × 0.25 = 0.25,1. ITGA3 (encoding Integrin alpha-3); 2. ITGB1 (encoding Integrin beta-1); Self Confidence Score Calculation:; Consistency across databases: 0.90 × 0.30 = 0.27; Supporting experimental data: 0.85 × 0.30 = 0.255,
zero-shot,Golgi-associated retrograde protein (GARP) complex,Homo sapiens (Human),Saccharomyces cerevisiae,"The GARP complex is involved in retrograde trafficking from endosomes to the trans-Golgi network (TGN), playing a crucial role in maintaining Golgi structure and protein recycling.",1. Vps52; 2. Vps53; 3. Vps54; 4. CCDC21 (VPS51),1. VPS52; 2. VPS53; 3. VPS54; 4. CCDC21; Self Confidence Score Calculation:; (Consistency across sources: 0.3 × 0.85) + (Experimental data: 0.3 × 0.80) + (Protein-gene mapping: 0.25 × 0.90) + (Organism specificity: 0.15 × 1.00) = 0.255 + 0.240 + 0.225 + 0.150 = 0.87,0.87
few-shot,Golgi-associated retrograde protein (GARP) complex',Human'; 1.00,N/A',"Involved in retrograde trafficking between late endosomes and the trans-Golgi network (TGN), crucial for protein and membrane recycling'",- Syntaxin 10 (STX10); - Golgi-associated retrograde protein subunit 1 (GARPD1/VPS54); - Golgi-associated retrograde protein subunit 2 (GARPD2/VPS52); - Golgi-associated retrograde protein subunit 3 (GARPD3/VPS53)'; 0.95,- STX10; - VPS54; - VPS52; - VPS53',
