Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
contextual,Melanocortin receptor 3,Human,N/A,"Melanocortin receptor 3 is a G protein-coupled receptor that binds melanocortins, including adrenocorticotropic hormone (ACTH) and the MSH hormones (α-MSH, β-MSH, and γ-MSH). It plays a role in energy homeostasis and is involved in the regulation of food intake and body weight.",Melanocortin receptor 3,MC3R,(0.95 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.255 + 0.25 + 0.15 = **0.94**
zero-shot,ATP1A1-TSHR complex,Human,Mouse,"The ATP1A1-TSHR complex is involved in the regulation of thyroid hormone production and secretion. ATP1A1 (Na+/K+ ATPase) maintains the electrochemical gradient across the plasma membrane, while TSHR (Thyroid-stimulating hormone receptor) binds to thyroid-stimulating hormone (TSH) and activates downstream signaling pathways that control thyroid hormone synthesis and release.","ATP1A1, TSHR","ATP1A1, TSHR",(0.3 * 0.8) + (0.3 * 0.6) + (0.25 * 0.9) + (0.15 * 0.9) = 0.24 + 0.18 + 0.225 + 0.135 = 0.78
few-shot,ATP1A1-TSHR complex,Human,N/A,ATP1A1-TSHR complex is involved in the regulation of thyroid hormone synthesis and secretion. The complex is formed by the interaction between the sodium/potassium-transporting ATPase subunit alpha-1 (ATP1A1) and the thyrotropin receptor (TSHR). This interaction is essential for the proper functioning of the thyroid gland.,"Sodium/potassium-transporting ATPase subunit alpha-1, Thyrotropin receptor","ATP1A1, TSHR",(0.9 × 0.3) + (0.8 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.24 + 0.25 + 0.15 = **0.91**
contextual,ATP1A1-TSHR complex,Human,N/A,"The ATP1A1-TSHR complex is involved in the regulation of thyroid hormone production. TSHR (Thyroid Stimulating Hormone Receptor) is activated by thyroid-stimulating hormone (TSH), which leads to the production of thyroid hormones. ATP1A1 (Sodium/Potassium-Transporting ATPase Subunit Alpha-1) is essential for maintaining the electrochemical gradient across the plasma membrane, which is necessary for the proper functioning of TSHR and thyroid hormone synthesis.","Sodium/potassium-transporting ATPase subunit alpha-1, Thyrotropin receptor","ATP1A1, TSHR",(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**
zero-shot,ADRA1B-CXCR4 complex,Human (Homo sapiens),Not applicable,"The ADRA1B-CXCR4 complex is involved in the regulation of cell migration and proliferation. ADRA1B and CXCR4 are both G protein-coupled receptors (GPCRs) that can form a heteromeric complex, leading to modulation of downstream signaling pathways.",1. Alpha-1B adrenergic receptor (ADRA1B); 2. C-X-C chemokine receptor type 4 (CXCR4),1. ADRA1B; 2. CXCR4,0.3 * 0.7 + 0.3 * 0.6 + 0.25 * 0.9 + 0.15 * 1.0 = 0.21 + 0.18 + 0.225 + 0.15 = 0.775
few-shot,ADRA1B-CXCR4 complex,Human,N/A,"The ADRA1B-CXCR4 complex is involved in the regulation of cell migration and proliferation. The interaction between ADRA1B and CXCR4 has been shown to modulate the signaling of both receptors, potentially influencing processes such as angiogenesis and tumor growth.","Alpha-1B adrenergic receptor, C-X-C chemokine receptor type 4","ADRA1B, CXCR4",(0.7 × 0.3) + (0.6 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.21 + 0.18 + 0.25 + 0.15 = **0.79**
contextual,ADRA1B-CXCR4 complex,Human,N/A,"The ADRA1B-CXCR4 complex is involved in the regulation of cell migration and proliferation. The interaction between ADRA1B and CXCR4 has been shown to modulate the signaling pathways activated by CXCR4, which is a chemokine receptor involved in various cellular processes, including immune response and cancer metastasis.","Alpha-1B adrenergic receptor, C-X-C chemokine receptor type 4","ADRA1B, CXCR4",(0.9 × 0.3) + (0.8 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.24 + 0.25 + 0.15 = **0.91**
zero-shot,Bdkrb2-Tbxa2r complex,Mouse (Mus musculus),Human (Homo sapiens),The Bdkrb2-Tbxa2r complex is involved in the regulation of smooth muscle contraction and blood pressure. Bdkrb2 (Bradykinin B2 receptor) and Tbxa2r (Thromboxane A2 receptor) interact to modulate vascular tone and blood pressure through their respective signaling pathways.,1. Bdkrb2 (Bradykinin B2 receptor); 2. Tbxa2r (Thromboxane A2 receptor),1. Bdkrb2; 2. Tbxa2r,0.3 * 0.7 + 0.3 * 0.6 + 0.25 * 0.9 + 0.15 * 0.8 = 0.21 + 0.18 + 0.225 + 0.12 = 0.725
few-shot,,,,,,,(0.0 × 0.3) + (0.0 × 0.3) + (0.0 × 0.25) + (0.0 × 0.15) = 0.0 + 0.0 + 0.0 + 0.0 = **0.00**
contextual,Bdkrb2-Tbxa2r complex,Mouse,N/A,"G-protein coupled receptor signaling pathway involved in regulating blood pressure, smooth muscle contraction, and inflammatory responses.","B2 bradykinin receptor, Thromboxane A2 receptor","Bdkrb2, Tbxa2r",(0.8 × 0.3) + (0.7 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.24 + 0.21 + 0.25 + 0.15 = **0.85**
zero-shot,Drd3-Ednrb complex,Mouse (Mus musculus),Human (Homo sapiens),The Drd3-Ednrb complex is involved in the regulation of dopamine signaling and endothelin receptor type B (Ednrb) function. The interaction between Drd3 and Ednrb may modulate dopaminergic neurotransmission and cellular responses mediated by Ednrb.,1. Drd3 (Dopamine receptor D3); 2. Ednrb (Endothelin receptor type B),1. Drd3; 2. Ednrb,0.15 + 0.15 + 0.2 + 0.15 = 0.65
few-shot,,,,,,,(0.2 × 0.3) + (0.1 × 0.3) + (0.8 × 0.25) + (0.6 × 0.15) = 0.06 + 0.03 + 0.2 + 0.09 = **0.38**
contextual,,,,,,,(0.0 × 0.3) + (0.0 × 0.3) + (0.0 × 0.25) + (0.0 × 0.15) = 0 + 0 + 0 + 0 = **0.00**
zero-shot,Egflam-Gpr179 complex,Mouse (Mus musculus),Not applicable,The Egflam-Gpr179 complex is involved in retinal neurotransmission and visual signal transduction in the retina. It plays a crucial role in the depolarizing response of ON-bipolar cells to light stimuli.,"1. Egflam (EGF-like, fibronectin type-III and laminin G-like domain-containing protein); 2. Gpr179 (G protein-coupled receptor 179)",1. Egflam; 2. Gpr179,0.3 * 0.8 + 0.3 * 0.7 + 0.25 * 0.9 + 0.15 * 1.0 = 0.815
few-shot,Egflam-Gpr179 complex,Mouse,N/A,Involved in retinal synaptic transmission between photoreceptors and ON-bipolar cells in the rod pathway. The complex is essential for normal localization of mGluR6 and TRPM1 at the tips of ON-bipolar cell dendrites.,"EGF-like, fibronectin type-III and laminin G-like domain-containing protein, Probable G-protein coupled receptor 179","Egflam, Gpr179",(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**
contextual,Egflam-Gpr179 complex,Mouse,N/A,The Egflam-Gpr179 complex is essential for the correct localization of ON bipolar cell dendrites to the ON starburst amacrine cell dendrites in the inner plexiform layer of the retina. This complex plays a crucial role in the development and maintenance of retinal synaptic connectivity and visual signal processing.,"EGF-like, fibronectin type-III and laminin G-like domain-containing protein, Probable G-protein coupled receptor 179","Egflam, Gpr179",(0.9 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.285 + 0.25 + 0.15 = **0.955**
zero-shot,Ceacam1-4L-Syk-Tlr4 complex,Mouse (Mus musculus),Not applicable,"The Ceacam1-4L-Syk-Tlr4 complex is involved in the regulation of innate immune responses. It modulates the activation of Toll-like receptor 4 (Tlr4) signaling pathway, which is crucial for the recognition of bacterial lipopolysaccharide (LPS) and the initiation of inflammatory responses.","1. Ceacam1-4L (Carcinoembryonic antigen-related cell adhesion molecule 1, long isoform); 2. Syk (Spleen tyrosine kinase); 3. Tlr4 (Toll-like receptor 4)",1. Ceacam1; 2. Syk; 3. Tlr4,0.3 (consistency) + 0.15 (experimental data) + 0.25 (protein-gene mapping) + 0.15 (organism specificity) = 0.85
few-shot,Ceacam1-4L-Syk-Tlr4 complex,Mouse,N/A,This complex is involved in the negative regulation of Toll-like receptor 4 (TLR4) signaling in response to lipopolysaccharide (LPS) stimulation. It plays a role in modulating innate immune responses and preventing excessive inflammation.,"Carcinoembryonic antigen-related cell adhesion molecule 1 isoform 4L (Ceacam1-4L), Tyrosine-protein kinase SYK (Syk), Toll-like receptor 4 (Tlr4)","Ceacam1, Syk, Tlr4",(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**
contextual,Ceacam1-4L-Syk-Tlr4 complex,Mouse,N/A,"This complex is involved in the negative regulation of Toll-like receptor 4 (TLR4) signaling in response to lipopolysaccharide (LPS) stimulation, thereby modulating innate immune responses and preventing excessive inflammation.","Carcinoembryonic antigen-related cell adhesion molecule 1 isoform 4L, Tyrosine-protein kinase SYK, Toll-like receptor 4","Ceacam1, Syk, Tlr4",(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**
zero-shot,KDR-NRP1-VEGF165 complex,Human (Homo sapiens),Mouse (Mus musculus),"The KDR-NRP1-VEGF165 complex plays a crucial role in angiogenesis and vascular development. It mediates the binding of VEGF165 to its receptors, KDR (VEGFR-2) and NRP1, which triggers downstream signaling pathways that promote endothelial cell proliferation, migration, and survival.","1. KDR (Kinase Insert Domain Receptor); 2. NRP1 (Neuropilin-1); 3. VEGF165 (Vascular Endothelial Growth Factor A, 165 amino acid isoform)",1. KDR; 2. NRP1; 3. VEGFA,0.3 + 0.3 + 0.25 + 0.15 = 1.00
few-shot,KDR-NRP1-VEGF165 complex,Human,Mouse,"This complex mediates VEGF165 signaling and regulates angiogenesis, endothelial cell migration, and vascular permeability.","Vascular endothelial growth factor receptor 2 (VEGFR-2), Neuropilin-1 (NRP1), Vascular endothelial growth factor A isoform 165 (VEGF165)","KDR, NRP1, VEGFA",(0.95 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.285 + 0.25 + 0.15 = **0.97**
contextual,KDR-NRP1-VEGF165 complex,Human,Mouse,"The KDR-NRP1-VEGF165 complex is involved in angiogenesis, the formation of new blood vessels from pre-existing ones. It mediates VEGF165-induced endothelial cell migration and proliferation, contributing to both physiological and pathological angiogenesis.","Vascular endothelial growth factor receptor 2 (KDR), Neuropilin-1 (NRP1), Vascular endothelial growth factor A isoform 165 (VEGF165)","KDR, NRP1, VEGFA",(0.9 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (0.5 × 0.15) = 0.27 + 0.285 + 0.25 + 0.075 = **0.88**
zero-shot,NRP1-VEGF121 complex,Human (Homo sapiens),Mouse (Mus musculus),"The NRP1-VEGF121 complex is involved in angiogenesis, cell migration, and cell survival. NRP1 acts as a co-receptor for VEGF121, enhancing its binding to VEGFR2 and promoting downstream signaling pathways.","1. NRP1 (Neuropilin-1); 2. VEGF121 (Vascular Endothelial Growth Factor A, isoform 121)",1. NRP1; 2. VEGFA,0.3 * 0.8 + 0.3 * 0.9 + 0.25 * 1.0 + 0.15 * 1.0 = 0.89
few-shot,NRP1-VEGF121 complex,Human,Mouse,"The NRP1-VEGF121 complex is involved in angiogenesis, cell migration, and cell survival. NRP1 acts as a co-receptor for VEGF121, enhancing its binding to VEGF receptors and promoting downstream signaling.","Neuropilin-1, Vascular endothelial growth factor A isoform 121","NRP1, VEGFA",(0.95 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.255 + 0.25 + 0.15 = **0.94**
contextual,NRP1-VEGF121 complex,Human,Mouse,"The NRP1-VEGF121 complex is involved in angiogenesis, the formation of new blood vessels from pre-existing ones. It plays a role in endothelial cell migration and survival, and is important for vascular development and remodeling.",1. Neuropilin-1 (NRP1); 2. Vascular endothelial growth factor A isoform 121 (VEGF121),1. NRP1; 2. VEGFA (specifically the isoform VEGF121),(0.95 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (0.9 × 0.15) = 0.285 + 0.255 + 0.25 + 0.135 = **0.925**
zero-shot,KDR-VEGF165 complex,Human,Mouse,"The KDR-VEGF165 complex plays a crucial role in angiogenesis, the formation of new blood vessels from pre-existing ones. When VEGF165 binds to KDR (also known as VEGFR-2), it triggers a signaling cascade that promotes endothelial cell proliferation, migration, and survival, leading to the growth of new blood vessels.",1. KDR (Kinase Insert Domain Receptor); 2. VEGF165 (Vascular Endothelial Growth Factor 165),1. KDR; 2. VEGFA (specifically the isoform VEGF165),0.3 * 0.9 + 0.3 * 0.8 + 0.25 * 1.0 + 0.15 * 1.0 = 0.81
few-shot,KDR-VEGF165 complex,Human,N/A,"The KDR-VEGF165 complex is involved in angiogenesis, vasculogenesis, and endothelial cell growth. It mediates VEGF-induced endothelial proliferation, survival, migration, tubular morphogenesis, and sprouting.","Vascular endothelial growth factor receptor 2 (KDR), Vascular endothelial growth factor A isoform 165 (VEGF165)","KDR, VEGFA",(0.95 × 0.3) + (1.0 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.3 + 0.25 + 0.15 = **0.985**
contextual,KDR-VEGF165 complex,Human,Mouse,"The KDR-VEGF165 complex is formed by the binding of vascular endothelial growth factor A (VEGF-A) isoform VEGF165 to the kinase insert domain receptor (KDR), also known as vascular endothelial growth factor receptor 2 (VEGFR-2). This interaction plays a crucial role in angiogenesis, vasculogenesis, and endothelial cell migration, promoting the formation of new blood vessels and the maintenance of existing ones.","Vascular endothelial growth factor receptor 2 (KDR), Vascular endothelial growth factor A (VEGFA) isoform VEGF165","KDR, VEGFA",(0.95 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (0.9 × 0.15) = 0.285 + 0.285 + 0.25 + 0.135 = **0.955**
zero-shot,FLT4-VEGFC complex,Human,Mouse,"The FLT4-VEGFC complex plays a crucial role in lymphangiogenesis, the formation of lymphatic vessels from pre-existing lymphatic endothelial cells. VEGFC binding to FLT4 (also known as VEGFR-3) activates the receptor, leading to downstream signaling that promotes lymphatic endothelial cell proliferation, migration, and survival.",1. FLT4 (Fms-related tyrosine kinase 4); 2. VEGFC (Vascular endothelial growth factor C),1. FLT4; 2. VEGFC,0.3 + 0.3 + 0.25 + 0.15 = 1.00
few-shot,FLT4-VEGFC complex,Human,Mouse,"The FLT4-VEGFC complex is involved in lymphangiogenesis, the formation of lymphatic vessels from pre-existing lymphatic vessels. VEGFC binds to and activates the FLT4 receptor tyrosine kinase, triggering downstream signaling pathways that promote lymphatic endothelial cell proliferation, migration, and survival.","Vascular endothelial growth factor receptor 3 (FLT4), Vascular endothelial growth factor C (VEGFC)","FLT4, VEGFC",(0.95 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.255 + 0.25 + 0.15 = **0.94**
contextual,FLT4-VEGFC complex,Human,Mouse,"The FLT4-VEGFC complex plays a crucial role in lymphangiogenesis, the formation of lymphatic vessels. VEGFC binds to and activates the FLT4 receptor tyrosine kinase, triggering downstream signaling pathways that promote lymphatic endothelial cell proliferation, migration, and survival.",1. Vascular endothelial growth factor receptor 3 (FLT4); 2. Vascular endothelial growth factor C (VEGFC),1. FLT4; 2. VEGFC,(0.95 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.255 + 0.25 + 0.15 = **0.94**
zero-shot,ITGA3-ITGB1 complex (Integrin α3β1 complex),Human (Homo sapiens),Mouse (Mus musculus),"Integrin α3β1 is a cell surface receptor that mediates cell-matrix adhesion and signal transduction. It plays a crucial role in cell migration, proliferation, and differentiation. The complex binds to various extracellular matrix proteins, such as laminin, collagen, and fibronectin.",1. Integrin α3 (ITGA3); 2. Integrin β1 (ITGB1),1. ITGA3; 2. ITGB1,(0.3 * 0.9) + (0.3 * 0.8) + (0.25 * 1.0) + (0.15 * 1.0) = 0.27 + 0.24 + 0.25 + 0.15 = 0.91
few-shot,ITGA3-ITGB1 complex,Human,Mouse,"A cell-surface receptor involved in cell adhesion and recognition in a variety of processes including embryogenesis, hemostasis, tissue repair, immune response and metastatic diffusion of tumor cells. The alpha 3-beta 1 integrin is a receptor for fibronectin, laminin, collagen, epiligrin, thrombospondin and CSPG4.","Integrin alpha-3, Integrin beta-1","ITGA3, ITGB1",(0.95 × 0.3) + (1.0 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.3 + 0.25 + 0.15 = **0.985**
contextual,ITGA3-ITGB1 complex,Human,Mouse,"The ITGA3-ITGB1 complex, also known as integrin α3β1 or VLA-3, is a transmembrane receptor that mediates cell-cell and cell-matrix adhesion. It plays a crucial role in cell migration, signal transduction, and cell survival. The complex binds to various extracellular matrix proteins, including laminin, collagen, and fibronectin.","Integrin alpha-3, Integrin beta-1","ITGA3, ITGB1",(0.95 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (0.9 × 0.15) = 0.285 + 0.255 + 0.25 + 0.135 = **0.925**
zero-shot,Golgi-associated retrograde protein (GARP) complex,Saccharomyces cerevisiae (budding yeast),"The GARP complex is conserved across eukaryotes, including Humans, Mice, C. elegans, and Drosophila melanogaster.","The GARP complex is involved in the retrograde transport of proteins and lipids from endosomes to the trans-Golgi network (TGN). It plays a crucial role in the retrieval of cargo molecules from endosomes and their return to the Golgi apparatus, maintaining the integrity and function of the Golgi complex.",1. Vps51; 2. Vps52; 3. Vps53; 4. Vps54,1. VPS51; 2. VPS52; 3. VPS53; 4. VPS54,0.3 * 0.9 + 0.3 * 0.8 + 0.25 * 0.95 + 0.15 * 0.9 = 0.8425
