Protein,Organism
"['PID-1', 'ERH-2', 'TOST-1', 'PETISCO-1/PSTS-1', 'PETISCO-2/PSTS-2']",Caenorhabditis Elegans
"['PID-1', 'ERH-2', 'TOST-1', 'PETISCO-1/PSTS-1', 'PETISCO-2/PSTS-2']",Caenorhabditis Elegans
"['PETISCO core components', 'PETISCO-associated proteins']",Caenorhabditis Elegans
"['PETISCO core components', 'PETISCO-associated proteins']",Caenorhabditis Elegans
"['TOST-1', 'PETC-1', 'PETC-2', 'PETC-3', 'TOFU-6', 'PUP-3']",Caenorhabditis Elegans
"['TOST-1', 'PETC-1', 'PETC-2', 'PETC-3', 'TOFU-6', 'PUP-3']",Caenorhabditis Elegans
"['TOST-1', 'PETC-1', 'PETC-2', 'PETC-3', 'TOFU-6', 'PUP-3']",Caenorhabditis Elegans
"['Mis12 protein homolog', 'Protein DSN1 homolog', 'PMF1-binding factor', 'Protein NSL1 homolog']",Homo Sapiens
"['TLG2 - Syntaxin-like t-SNARE', 'VTI1 - v-SNARE', 'TLG1 - t-SNARE', 'SNC2 - v-SNARE']",Saccharomyces cerevisiae
"['TLG2 - Syntaxin-like t-SNARE', 'VTI1 - v-SNARE', 'TLG1 - t-SNARE', 'SNC2 - v-SNARE']",Saccharomyces cerevisiae
"['TLG2 - Syntaxin-like t-SNARE', 'VTI1 - v-SNARE', 'TLG1 - t-SNARE', 'SNC2 - v-SNARE']",Saccharomyces cerevisiae
"['TLG2 - Syntaxin-like t-SNARE', 'VTI1 - v-SNARE', 'TLG1 - t-SNARE', 'SNC2 - v-SNARE']",Saccharomyces cerevisiae
"['Syntaxin TLG2', 'Vesicle transport v-SNARE protein VTI1', 't-SNARE TLG1', 'Synaptobrevin homolog SNC2']",Saccharomyces cerevisiae
"['Syntaxin TLG2', 'Vesicle transport v-SNARE protein VTI1', 't-SNARE TLG1', 'Synaptobrevin homolog SNC2']",Saccharomyces cerevisiae
"['Syntaxin TLG2', 'Vesicle transport v-SNARE protein VTI1', 't-SNARE protein TLG1', 'Synaptobrevin homolog SNC2']",Saccharomyces cerevisiae
"['Syntaxin TLG2', 'Vesicle transport v-SNARE protein VTI1', 't-SNARE protein TLG1', 'Synaptobrevin homolog SNC2']",Saccharomyces cerevisiae
"['Cdc45', 'MCM2', 'MCM3', 'MCM4', 'MCM5', 'MCM6', 'MCM7', 'GINS tetramer', 'Sld5', 'Psf1', 'Psf2', 'Psf3']",Saccharomyces cerevisiae
"['Cell division control protein 45', 'Minichromosome maintenance proteins', 'MCM2', 'MCM3', 'MCM4', 'MCM5', 'MCM6', 'MCM7', 'GINS complex', 'Sld5', 'Psf1', 'Psf2', 'Psf3']",Saccharomyces cerevisiae
"['Cell division control protein 45', 'Minichromosome maintenance proteins', 'MCM2', 'MCM3', 'MCM4', 'MCM5', 'MCM6', 'MCM7', 'GINS complex', 'Sld5', 'Psf1', 'Psf2', 'Psf3']",Saccharomyces cerevisiae
"['MRPS2', 'MRPS5', 'MRPS6', 'MRPS7', 'MRPS9', 'MRPS10', 'MRPS11', 'MRPS12', 'MRPS14', 'MRPS15', 'MRPS16', 'MRPS17', 'MRPS18A', 'MRPS18B', 'MRPS18C', 'MRPS21', 'MRPS22', 'MRPS23', 'MRPS24', 'MRPS25', 'MRPS26', 'MRPS27', 'MRPS28', 'MRPS29/DAP3', 'MRPS30', 'MRPS31', 'MRPS33', 'MRPS34', 'MRPS35', 'MRPS39/PTCD3', 'uS2m', 'uS3m', 'uS4m', 'uS5m', 'bS6m', 'uS7m', 'uS8m', 'uS9m', 'uS10m', 'uS11m', 'uS12m', 'uS13m', 'uS14m', 'uS15m', 'bS16m', 'bS17m', 'bS18m', 'bS19m', 'bS21m']",Homo Sapiens
"['MRPS2', 'MRPS5', 'MRPS6', 'MRPS7', 'MRPS9', 'MRPS10', 'MRPS11', 'MRPS12', 'MRPS14', 'MRPS15', 'MRPS16', 'MRPS17', 'MRPS18A', 'MRPS18B', 'MRPS18C', 'MRPS21', 'MRPS22', 'MRPS23', 'MRPS24', 'MRPS25', 'MRPS26', 'MRPS27', 'MRPS28', 'MRPS29/DAP3', 'MRPS30', 'MRPS31', 'MRPS33', 'MRPS34', 'MRPS35', 'MRPS39/PTCD3', 'uS2m', 'uS3m', 'uS4m', 'uS5m', 'bS6m', 'uS7m', 'uS8m', 'uS9m', 'uS10m', 'uS11m', 'uS12m', 'uS13m', 'uS14m', 'uS15m', 'bS16m', 'bS17m', 'bS18m', 'bS19m', 'bS21m']",Homo Sapiens
"['MRPS2', 'MRPS5', 'MRPS6', 'MRPS7', 'MRPS9', 'MRPS10', 'MRPS11', 'MRPS12', 'MRPS14', 'MRPS15', 'MRPS16', 'MRPS17', 'MRPS18A', 'MRPS18B', 'MRPS18C', 'MRPS21', 'MRPS22', 'MRPS23', 'MRPS24', 'MRPS25', 'MRPS26', 'MRPS27', 'MRPS28', 'MRPS29/DAP3', 'MRPS30', 'MRPS31', 'MRPS33', 'MRPS34', 'MRPS35', 'MRPS39/PTCD3', 'uS2m', 'uS3m', 'uS4m', 'uS5m', 'bS6m', 'uS7m', 'uS8m', 'uS9m', 'uS10m', 'uS11m', 'uS12m', 'uS13m', 'uS14m', 'uS15m', 'bS16m', 'bS17m', 'bS18m', 'bS19m', 'bS21m']",Homo Sapiens
"['MRPS2', 'MRPS5', 'MRPS6', 'MRPS7', 'MRPS9', 'MRPS10', 'MRPS11', 'MRPS12', 'MRPS14', 'MRPS15', 'MRPS16', 'MRPS17', 'MRPS18A', 'MRPS18B', 'MRPS18C', 'MRPS21', 'MRPS22', 'MRPS23', 'MRPS24', 'MRPS25', 'MRPS26', 'MRPS27', 'MRPS28', 'MRPS29/DAP3', 'MRPS30', 'MRPS31', 'MRPS33', 'MRPS34', 'MRPS35', 'MRPS39/PTCD3', 'uS2m', 'uS3m', 'uS4m', 'uS5m', 'bS6m', 'uS7m', 'uS8m', 'uS9m', 'uS10m', 'uS11m', 'uS12m', 'uS13m', 'uS14m', 'uS15m', 'bS16m', 'bS17m', 'bS18m', 'bS19m', 'bS21m']",Homo Sapiens
"['MRPS2', 'MRPS5', 'MRPS6', 'MRPS7', 'MRPS9', 'MRPS10', 'MRPS11', 'MRPS12', 'MRPS14', 'MRPS15', 'MRPS16', 'MRPS17', 'MRPS18A', 'MRPS18B', 'MRPS18C', 'MRPS21', 'MRPS22', 'MRPS23', 'MRPS24', 'MRPS25', 'MRPS26', 'MRPS27', 'MRPS28', 'MRPS29/DAP3', 'MRPS30', 'MRPS31', 'MRPS33', 'MRPS34', 'MRPS35', 'MRPS39/PTCD3', 'uS2m', 'uS3m', 'uS4m', 'uS5m', 'bS6m', 'uS7m', 'uS8m', 'uS9m', 'uS10m', 'uS11m', 'uS12m', 'uS13m', 'uS14m', 'uS15m', 'bS16m', 'bS17m', 'bS18m', 'bS19m', 'bS21m']",Homo Sapiens
"['MRPS2', 'MRPS5', 'MRPS6', 'MRPS7', 'MRPS9', 'MRPS10', 'MRPS11', 'MRPS12', 'MRPS14', 'MRPS15', 'MRPS16', 'MRPS17', 'MRPS18A', 'MRPS18B', 'MRPS18C', 'MRPS21', 'MRPS22', 'MRPS23', 'MRPS24', 'MRPS25', 'MRPS26', 'MRPS27', 'MRPS28', 'MRPS29/DAP3', 'MRPS30', 'MRPS31', 'MRPS33', 'MRPS34', 'MRPS35', 'MRPS39/PTCD3', 'uS2m', 'uS3m', 'uS4m', 'uS5m', 'bS6m', 'uS7m', 'uS8m', 'uS9m', 'uS10m', 'uS11m', 'uS12m', 'uS13m', 'uS14m', 'uS15m', 'bS16m', 'bS17m', 'bS18m', 'bS19m', 'bS21m']",Homo Sapiens
"['MRPS2', 'MRPS5', 'MRPS6', 'MRPS7', 'MRPS9', 'MRPS10', 'MRPS11', 'MRPS12', 'MRPS14', 'MRPS15', 'MRPS16', 'MRPS17', 'MRPS18A', 'MRPS18B', 'MRPS18C', 'MRPS21', 'MRPS22', 'MRPS23', 'MRPS24', 'MRPS25', 'MRPS26', 'MRPS27', 'MRPS28', 'MRPS29/DAP3', 'MRPS30', 'MRPS31', 'MRPS33', 'MRPS34', 'MRPS35', 'MRPS39/PTCD3', 'uS2m', 'uS3m', 'uS4m', 'uS5m', 'bS6m', 'uS7m', 'uS8m', 'uS9m', 'uS10m', 'uS11m', 'uS12m', 'uS13m', 'uS14m', 'uS15m', 'bS16m', 'bS17m', 'bS18m', 'bS19m', 'bS21m']",Homo Sapiens
['The human mitochondrial small ribosomal subunit consists of approximately 30 proteins:'],Homo Sapiens
['The human mitochondrial small ribosomal subunit consists of 30 proteins:'],Homo Sapiens
"['Troponin C type 1', 'Troponin I type 3', 'Troponin T type 2']",Homo Sapiens
