Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score,Accession_Mapped
few-shot,ATP1A1-TSHR complex,Homo Sapiens,,This complex is involved in the modulation of thyroid function and sodium-potassium ion balance;  influencing cellular processes like metabolism and signal transduction.,Sodium/potassium-transporting ATPase subunit alpha-1;  Thyrotropin receptor,ATP1A1;  TSHR,0.925,B7Z1N5; A0A1B0GUJ5
contextual,ATP1A1-TSHR complex,Homo Sapiens,N/A',This complex;  found in thyroid cells;  is involved in modulating the function of Na+/K+ ATPase;  influencing cytosolic calcium levels;  and acting in signal transduction pathways.',Sodium/potassium-transporting ATPase subunit alpha-1;  Thyrotropin receptor',ATP1A1;  TSHR',0.9349,B7Z1N5; A0A1B0GUJ5
zero-shot,ADRA1B-CXCR4 complex,Homo Sapiens,Current literature and databases do not explicitly mention the presence of this complex in Mouse;  C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae.,The ADRA1B-CXCR4 complex is involved in signal transduction mechanisms. Specifically;  the complex facilitates the interaction between adrenergic and chemokine receptor signaling pathways. This can play a key role in processes like cell migration and response to external stimuli.,ADRA1B; CXCR4,ADRA1B: The gene encoding the Alpha-1B adrenergic receptor is ADRA1B.; CXCR4: The gene encoding the C-X-C chemokine receptor type 4 is CXCR4.,0.95,P35368; P61073
few-shot,ADRA1B-CXCR4 complex,Homo Sapiens,Mouse',The ADRA1B-CXCR4 complex involves the interaction between the alpha-1B adrenergic receptor (ADRA1B) and the C-X-C chemokine receptor type 4 (CXCR4);  potentially contributing to cellular responses to adrenergic signals and chemokine gradients;  which may influence cell migration;  cardiovascular system regulation;  and immune response.',Alpha-1B adrenergic receptor;  C-X-C chemokine receptor type 4',ADRA1B;  CXCR4',0.9125,P35368; A0A0U3GXA9
contextual,ADRA1B-CXCR4 complex,Homo Sapiens,Mouse',The ADRA1B-CXCR4 complex involves interactions between adrenergic and chemokine receptors;  impacting various signaling pathways associated with cell migration;  immune response;  and cardiovascular processes.',Alpha-1B adrenergic receptor;  C-X-C chemokine receptor type 4',ADRA1B;  CXCR4',0.9125,P35368; A0A0U3GXA9
zero-shot,Bdkrb2-Tbxa2r Complex,Homo Sapiens,The Bdkrb2-Tbxa2r complex is not well-documented in organisms other than humans within the context of the specified organisms;  meaning there is insufficient evidence or studies regarding its presence in Mouse;  C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae.,The Bdkrb2-Tbxa2r complex consists of the bradykinin receptor B2 (Bdkrb2) and thromboxane A2 receptor (Tbxa2r). In humans;  this complex is primarily involved in modulating vascular tone and inflammation. The interaction between these receptors could be important in diverse physiological processes;  such as regulating blood pressure and contributing to inflammatory responses.,Bradykinin receptor B2; Thromboxane A2 receptor,BDKRB2; TBXA2R,0.8425,"	
P30411; K7ER80"
few-shot,Bdkrb2-Tbxa2r complex,Mus Musculus,Human,The Bdkrb2-Tbxa2r complex is involved in vasoregulation and modulation of inflammatory responses and blood pressure regulation.,Bradykinin receptor B2;  Thromboxane A2 receptor,Bdkrb2;  Tbxa2r,0.885,P32299; Q712P5
contextual,Bdkrb2-Tbxa2r complex,Mus Musculus,,The Bdkrb2-Tbxa2r complex is involved in modulating responses to inflammation;  helping to regulate vasoconstriction;  vasodilation;  and platelet aggregation in the mouse.,Bradykinin receptor B2;  Thromboxane A2 receptor,Bdkrb2;  Tbxa2r,0.925,P32299; Q712P5
zero-shot,Drd3-Ednrb complex,Mus Musculus,Human,The Drd3-Ednrb complex involves interactions between the dopamine receptor D3 (Drd3) and the endothelin receptor type B (Ednrb). This complex modulates dopamine signaling pathways;  which can influence neurotransmission and cardiovascular functions. The interaction may play a role in regulating neuronal processes such as cognition;  mood;  and movement;  as well as vascular tone and blood pressure regulation.,Dopamine Receptor D3;  Endothelin Receptor Type B,Drd3: Encoded by the Drd3 gene; Ednrb: Encoded by the Ednrb gene,0.94,P30728; Q8K1V9
few-shot,Drd3-Ednrb complex,Mus Musculus,Human',This complex involves the interaction between the dopamine receptor D3 (Drd3) and the endothelin receptor type B (Ednrb);  which may play roles in modulating neurotransmission and possibly related to neurodegeneration or psychiatric disorders.',Dopamine receptor D3;  Endothelin receptor type B',Drd3;  Ednrb',0.895,P30728; Q8K1V9
contextual,Drd3-Ednrb complex,Mus Musculus,Human',A protein complex involved in regulating neuronal functions;  including neurotransmitter signaling and vasoconstriction;  through dopamine receptor D3 and endothelin receptor B pathways.',Dopamine receptor D3;  Endothelin receptor type B',Drd3;  Ednrb',0.91,P30728; Q8K1V9
zero-shot,Egflam-Gpr179 complex,Mus Musculus,None,The Egflam-Gpr179 complex is involved in the functioning of ON bipolar cells in the retina. It plays a crucial role in the synaptic transmission and visual signal processing;  particularly in the signaling pathways that mediate the response of bipolar cells to changes in light conditions.,Egflam;  Gpr179,Egflam (Epidermal growth factor-like;  fibronectin type III and laminin G domains);  Gpr179 (G protein-coupled receptor 179),0.97,Q4VBE4; E9PY61
few-shot,Egflam-Gpr179 complex,Mus Musculus,Human',This complex is involved in signal transduction;  particularly in photoreceptor synaptic signaling in the retina. It plays a crucial role in the functioning of photoreceptor cells by contributing to the proper transduction of visual signals.',EGF-like;  fibronectin type-III and laminin G-like domain-containing protein;  G protein-coupled receptor 179',Egflam;  Gpr179',0.925,E9Q4M7; Q4VBE4; E9PY61
contextual,Egflam-Gpr179 complex,Mus Musculus,Human',Involved in signal transduction processes in the retina;  particularly essential for the proper functioning of ON-bipolar cells in the visual pathway.',EGF-like;  fibronectin type III and laminin G-like domain-containing protein;  G protein-coupled receptor 179',Egflam;  Gpr179',0.915,E9Q4M7; Q4VBE4; E9PY61
zero-shot,Ceacam1-4L-Syk-Tlr4 complex,Mus Musculus,The specific Ceacam1-4L-Syk-Tlr4 complex has not been consistently documented in the other organisms listed (Human;  C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae).,The Ceacam1-4L-Syk-Tlr4 complex is involved in immune signaling. It plays a crucial role in pathogen recognition and the subsequent activation of immune responses. It is involved in modulating Toll-like receptor (TLR) signaling pathways;  which are essential for innate immunity.,Carcinoembryonic antigen-related cell adhesion molecule 1;  Spleen tyrosine kinase;  Toll-like receptor 4.,Corresponding mouse genes for the proteins involved are:,0.2415,P31809; P48025; L0CMZ8
few-shot,Ceacam1-4L-Syk-Tlr4 complex,Homo Sapiens,Mouse,This complex is involved in immune signal transduction. It plays a role in mediating responses to pathogenic infections by modulating the immune response;  particularly in cellular signaling pathways associated with inflammation.,Carcinoembryonic antigen-related cell adhesion molecule 1;  Spleen tyrosine kinase;  Toll-like receptor 4,CEACAM1;  SYK;  TLR4,0.925,P13688; C3W980; D0EWT9
contextual,Ceacam1-4L-Syk-Tlr4 complex,Mus Musculus,N/A',Involved in immune signaling pathways;  with roles in orchestrating inflammatory responses and modulating immune cell activation.',Carcinoembryonic antigen-related cell adhesion molecule 1;  Spleen tyrosine kinase;  Toll-like receptor 4',Ceacam1;  Syk;  Tlr4',0.8825,P31809; P48025; L0CMZ8
zero-shot,KDR-NRP1-VEGF165 complex,Homo Sapiens,Mouse,The KDR-NRP1-VEGF165 complex plays a crucial role in angiogenesis;  which is the process of new blood vessel formation. VEGF165 (Vascular Endothelial Growth Factor 165);  a potent pro-angiogenic factor;  binds to VEGF receptor 2 (KDR/Flk-1) and neuropilin-1 (NRP1);  enhancing the VEGF165 signaling pathway essential for endothelial cell proliferation;  migration;  and survival.,KDR/Flk-1; NRP1; VEGF165,KDR: The gene for KDR/Flk-1 is KDR.; NRP1: The gene for neuropilin-1 is NRP1.; VEGFA: The gene encoding VEGF165 is VEGFA.,0.955,"	
P35968; Q5JWQ4; P15692"
few-shot,KDR-NRP1-VEGF165 complex,Homo Sapiens,Mouse,This protein complex plays a crucial role in angiogenesis;  the process of blood vessel formation;  by facilitating VEGF signaling. It is involved in promoting vascular permeability;  endothelial cell proliferation;  migration;  and survival.,Kinase insert domain receptor;  Neuropilin-1;  Vascular endothelial growth factor 165,KDR;  NRP1;  VEGFA,0.9649,A0A0U2VU55; Q5JWQ4; P15692
contextual,KDR-NRP1-VEGF165 complex,Homo Sapiens,Mouse,This complex is involved in angiogenesis by mediating the effects of the vascular endothelial growth factor (VEGF165) on endothelial cells;  leading to the promotion of blood vessel growth and permeability.,Kinase insert domain receptor;  Neuropilin-1;  Vascular endothelial growth factor 165,KDR;  NRP1;  VEGFA,0.955,A0A0U2VU55; Q5JWQ4;P15692
zero-shot,NRP1-VEGF121 complex,Homo Sapiens,Mouse,The NRP1-VEGF121 complex is involved in the angiogenesis process by mediating neural guidance and vascular endothelial growth factor (VEGF) signaling. This complex is critical for the binding of VEGF121;  a specific splice variant of the VEGF family;  to neuropilin-1 (NRP1);  enhancing endocytosis and presenting VEGF121 to its high-affinity receptors for downstream signaling pathways in vascular endothelial cells.,Neuropilin-1;  Vascular Endothelial Growth Factor 121,NRP1 (for Neuropilin-1);  VEGFA (for Vascular Endothelial Growth Factor 121),0.955,Q5JWQ4; Not Found
few-shot,NRP1-VEGF121 complex,Homo Sapiens,Mouse',This complex is involved in angiogenesis;  the formation of new blood vessels;  by mediating the interaction between vascular endothelial growth factor (VEGF) and its receptor;  which is crucial in various physiological and pathological processes.',Neuropilin-1;  Vascular endothelial growth factor 121',NRP1;  VEGFA',0.925,Q5JWQ4; Not Found
contextual,NRP1-VEGF121 complex,Homo Sapiens,Mouse;  Drosophila melanogaster,This complex is involved in mediating angiogenesis by enhancing the binding of vascular endothelial growth factor (VEGF) to its receptor. It plays a crucial role in the formation of the blood vessel network.,Neuropilin-1;  Vascular endothelial growth factor 121,NRP1;  VEGFA,0.94,Q5JWQ4; Not Found
zero-shot,KDR-VEGF165 complex,Homo Sapiens,Mouse,The KDR-VEGF165 complex plays a critical role in the regulation of angiogenesis;  which is the formation of new blood vessels from existing ones. This process is essential for normal development;  wound healing;  and the progression of diseases such as cancer and diabetic retinopathy., KDR ;  VEGF165 ,The KDR protein is encoded by the KDR gene;  and the VEGF165 protein is encoded by the VEGFA gene.,1,P35968; P15692
few-shot,KDR-VEGF165 complex,Homo Sapiens,Mouse',This protein complex is involved in the angiogenesis process;  mediating vascular endothelial growth factor (VEGF) signaling;  leading to the proliferation;  migration;  and new vessel formation.',Kinase insert domain receptor;  Vascular endothelial growth factor 165',KDR;  VEGFA',0.955,A0A0U2VU55;P15692
contextual,KDR-VEGF165 complex,Homo Sapiens,Mouse,This complex is primarily involved in angiogenesis;  where VEGF165 (Vascular Endothelial Growth Factor) binds to the KDR (Kinase Insert Domain Receptor);  also known as VEGFR-2;  to stimulate endothelial cell proliferation;  migration;  and new blood vessel formation.,Kinase insert domain receptor;  Vascular endothelial growth factor 165,KDR;  VEGFA,0.94,A0A0U2VU55;P15692
zero-shot,FLT4-VEGFC complex,Homo Sapiens,Mouse,The FLT4-VEGFC complex is involved in lymphangiogenesis;  which is the formation of lymphatic vessels. This process is critical in maintaining fluid balance in tissues;  immune responses;  and fat absorption. FLT4;  also known as VEGFR-3;  is a receptor tyrosine kinase that;  upon binding to its ligand VEGFC;  initiates signaling cascades that promote the growth and migration of lymphatic endothelial cells.,FLT4; VEGFC,FLT4 gene encodes for the FLT4 protein;  and VEGFC gene encodes for the VEGFC protein.,0.97,L8EBH4; Q6FH59
few-shot,FLT4-VEGFC complex,Homo Sapiens,Mouse',This complex is involved in lymphangiogenesis;  which is the formation of lymphatic vessels. It is crucial for vascular development and maintaining fluid balance in tissues.',Vascular endothelial growth factor receptor 3;  Vascular endothelial growth factor C',FLT4;  VEGFC',0.955,A0A0A7DZ60; P49767
contextual,FLT4-VEGFC complex,Homo Sapiens,Mouse;  C. elegans (similar VEGF/EGF receptor pathways;  but distinct orthologs)',This complex is a key regulator of lymphangiogenesis;  which is the formation of lymphatic vessels from pre-existing lymphatic vessels. It plays a critical role in the maintenance and development of the lymphatic system;  as well as in physiological processes such as immune response;  tissue fluid homeostasis;  and lipid metabolism.',Vascular endothelial growth factor receptor 3;  Vascular endothelial growth factor C',FLT4;  VEGFC',0.955,A0A0A7DZ60; P49767
zero-shot,ITGA3-ITGB1 complex,Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster,The ITGA3-ITGB1 complex is a heterodimeric integrin protein complex critical for mediating cell adhesion and signal transduction processes. It is involved in interactions with the extracellular matrix and plays a significant role in processes like cell migration;  proliferation;  and signal transduction;  particularly in tissue development and repair.,Integrin alpha-3; Integrin beta-1,ITGA3 (gene coding for Integrin alpha-3);  ITGB1 (gene coding for Integrin beta-1),0.91,Q59F03; Q5T3E6
few-shot,ITGA3-ITGB1 complex,Homo Sapiens,Mouse;  C. elegans,This integrin complex is involved in cell adhesion and signal transduction;  playing critical roles in cellular processes such as proliferation;  differentiation;  and migration. It is implicated in a variety of cellular interactions with the extracellular matrix (ECM) as well as in signal transduction pathways that influence cell behavior.,Integrin alpha-3;  Integrin beta-1,ITGA3;  ITGB1,0.925,Q59F03; Q5T3E6
contextual,ITGA3-ITGB1 complex,Homo Sapiens,Mouse;  Drosophila melanogaster',This integrin complex is involved in cell adhesion;  signaling;  and interaction with the extracellular matrix;  playing a key role in various processes such as cell migration;  cell survival;  and tissue development.',Integrin alpha-3;  Integrin beta-1',ITGA3;  ITGB1',0.94,Q59F03; Q5T3E6
zero-shot,Golgi-associated retrograde protein complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster,The GARP complex is involved in retrograde transport of vesicles from endosomes to the trans-Golgi network (TGN). This transport is crucial for maintaining Golgi function;  proper protein sorting;  and trafficking within the cell.,Vps51;  Vps52;  Vps53;  Vps54 ,Vps51: VPS51; Vps52: VPS52; Vps53: VPS53; Vps54: VPS54,0.9175,C7GNN9; A6ZZ73; C7GSQ3; A6ZXZ0
few-shot,Golgi-associated retrograde protein complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The GARP complex is involved in tethering transport vesicles to the Golgi and is essential for the efficient retrograde transport of proteins from endosomes to the trans-Golgi network.,Vps51;  Vps52;  Vps53;  Vps54,VPS51;  VPS52;  VPS53;  VPS54,0.8975,C7GNN9; A6ZZ73; C7GSQ3; A6ZXZ0
contextual,Golgi-associated retrograde protein complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,This complex is involved in retrograde transport;  specifically in the tethering of vesicles at the Golgi apparatus. It plays a crucial role in the retrieval of lysosomal hydrolase receptors from endosomes to the trans-Golgi network.,Vps51;  Vps52;  Vps53;  Vps54,VPS51;  VPS52;  VPS53;  VPS54,0.955,C7GNN9; A6ZZ73; C7GSQ3; A6ZXZ0
zero-shot,Transmembrane channel-like (TMC) 2 complex,Mus Musculus,Human,The TMC2 protein complex is involved in mechanotransduction;  functioning as an ion channel that is pivotal for the conversion of mechanical stimuli into electrical signals. This function is essential for processes such as hearing;  where mechanical stimulation by sound waves is transduced into auditory nerve signals.,TMC2,The primary gene encoding the TMC2 protein is Tmc2.,0.825,Q8R4P4
few-shot,Transmembrane channel-like (TMC) 2 complex,Mus Musculus,Human,TMC2 is involved in mechanotransduction in the inner ear;  specifically functioning in the conversion of sound waves into electrical signals in auditory hair cells.,Transmembrane channel-like protein 1;  Transmembrane channel-like protein 2,Tmc1;  Tmc2,0.9025,Q8R4P5; Q8R4P4
contextual,Transmembrane channel-like (TMC) 2 complex,Mus Musculus,Human',TMC2 is involved in mechanotransduction;  specifically contributing to the process by which hair cells in the vestibular and auditory systems detect mechanical stimuli and convert them into neural signals.',Transmembrane channel-like protein 2',Tmc2',0.87,Q8R4P4
zero-shot,13 subunit eukaryotic initiation factor 3 (eIF3) complex,Homo Sapiens,Mouse;  Saccharomyces cerevisiae,eIF3 is a critical component in the initiation phase of eukaryotic translation;  facilitating the recruitment of ribosome subunits to mRNA and assisting in the start codon recognition. The 13-subunit structure is specifically essential for stabilizing pre-initiation complexes and interacting with other initiation factors and mRNA.,eIF3a;  eIF3b;  eIF3c; eIF3d;  eIF3e; eIF3f; eIF3g; eIF3h;  eIF3i;  eIF3j; eIF3k; eIF3l; eIF3m,eIF3a: EIF3A; eIF3b: EIF3B; eIF3c: EIF3C; eIF3d: EIF3D; eIF3e: EIF3E; eIF3f: EIF3F; eIF3g: EIF3G; eIF3h: EIF3H; eIF3i: EIF3I; eIF3j: EIF3J; eIF3k: EIF3K; eIF3l: EIF3L; eIF3m: EIF3M,1,Q3B770; Q96G38; Q3B7B9; B4E1K8; A0A7I2V4G3; O00303; O75821; Q5BKY2; A0A7I2V5V8; O75822; B4DVD7; Q7Z5X3; Q7L2H7
few-shot,Eukaryotic initiation factor 3 (eIF3);  13 subunit complex,Homo Sapiens,Mouse;  C. elegans',eIF3 is involved in the initiation phase of eukaryotic translation;  specifically recruiting the 40S ribosomal subunit to the mRNA and facilitating the formation of the pre-initiation complex by interacting with other initiation factors.',eIF3a;  eIF3b;  eIF3c; eIF3d;  eIF3e; eIF3f; eIF3g; eIF3h;  eIF3i;  eIF3j; eIF3k; eIF3l; eIF3m,EIF3A;  EIF3B;  EIF3C;  EIF3D;  EIF3E;  EIF3F;  EIF3G;  EIF3H;  EIF3I;  EIF3J;  EIF3K;  EIF3L;  EIF3M',0.9125,Q3B770; Q96G38; Q3B7B9; B4E1K8; A0A7I2V4G3; O00303; O75821; Q5BKY2; A0A7I2V5V8; O75822; B4DVD7; Q7Z5X3; Q7L2H7
contextual,Eukaryotic Initiation Factor 3 (eIF3) 13-subunit complex,Homo Sapiens,Mouse;  Saccharomyces cerevisiae;  C. elegans;  Drosophila melanogaster',eIF3 is a critical translation initiation complex that promotes the binding of mRNA and initiator tRNA to the 40S ribosomal subunit;  thereby playing a fundamental role in the initiation phase of protein synthesis by guiding the assembly of several other factors.',eIF3a;  eIF3b;  eIF3c;  eIF3d;  eIF3e;  eIF3f;  eIF3g;  eIF3h;  eIF3i;  eIF3j;  eIF3k;  eIF3l;  eIF3m',EIF3A;  EIF3B;  EIF3C;  EIF3D;  EIF3E;  EIF3F;  EIF3G;  EIF3H;  EIF3I;  EIF3J;  EIF3K;  EIF3L;  EIF3M',0.955,Q3B770; Q96G38; Q3B7B9; B4E1K8; A0A7I2V4G3; O00303; O75821; Q5BKY2; A0A7I2V5V8; O75822; B4DVD7; Q7Z5X3; Q7L2H7
zero-shot,Tip60 chromatin-remodeling complex,Homo Sapiens,Drosophila melanogaster;  Saccharomyces cerevisiae,The Tip60 chromatin-remodeling complex;  also known as the NuA4 histone acetyltransferase complex;  is involved in histone acetylation;  a crucial process in modifying chromatin structure to regulate gene transcription;  DNA repair;  apoptosis;  and cell cycle progression. Specifically;  this complex acetylates histone H4 and other substrates;  including histone H2A variants;  enabling transcriptional activation by remodeling the chromatin to a more open conformation.,KAT5;  EPC1;  EPC2;  ING3;  TFPT;  MEAF6;  TRRAP; RUVBL1/2;  BAF53A;  DMAP1.,The corresponding genes encoding these proteins are:,1,"Q92993; B8XCX8; E7ETK1; B7ZKQ7; A8MTQ3; B1AK63; Q8N563; 	
Q9Y265; Q6FI97;Q9NPF5"
few-shot,Tip60 chromatin-remodeling complex,Homo Sapiens,Mouse;  Drosophila melanogaster,The Tip60 chromatin-remodeling complex is involved in histone acetylation and plays a critical role in the regulation of gene expression;  DNA repair;  apoptosis;  and the maintenance of genomic stability.,HTATIP;  EPC1;  ING3;  MRGBP;  BRD8;  TRRAP;  DMAP1;  actin proteins ACTL6A,EP400;  HTATIP;  EPC1;  ING3;  MRGBP;  BRD8;  TRRAP;  DMAP1;  ACTL6A;  ACTL6B;  ACTB,0.9125,Q92993; B8XCX8; B7ZKQ7; Q9NV56; B2R5V7; Q8N563; Q5TG40; O96019
