Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score,Accession_Mapped
few-shot,GNA12-GPR55-RGS2 complex,Homo Sapiens,Mouse,This complex mediates G protein-coupled receptor signaling;  where GPR55 functions as a cannabinoid receptor;  GNA12 acts as a G-protein alpha subunit that transduces signals;  and RGS2 serves as a regulator of G-protein signaling by accelerating the inactivation of G proteins. Together;  they regulate cellular processes including cytoskeletal reorganization;  cell migration;  and various stress responses.,Guanine nucleotide-binding protein subunit alpha-12;  G-protein coupled receptor 55;  Regulator of G-protein signaling 2,GNA12;  GPR55;  RGS2,0.7425,Q03113; C9J1P7; P41220
contextual,GNA12-GPR55-RGS2 complex,Homo Sapiens,Mouse,This complex is involved in G protein-coupled receptor (GPCR) signaling;  where GPR55 functions as a cannabinoid receptor;  GNA12 (Gα12) serves as the G-protein alpha subunit that transduces signals;  and RGS2 acts as a regulator of G-protein signaling that modulates the GTPase activity of GNA12. The complex regulates multiple cellular processes including cell migration;  cytoskeletal reorganization;  and inflammatory responses. GPR55 activation by cannabinoids and lysophosphatidylinositol leads to GNA12-mediated signaling;  which is fine-tuned by RGS2.,Guanine nucleotide-binding protein subunit alpha-12; G-protein coupled receptor 55; Regulator of G-protein signaling 2,GNA12; GPR55; RGS2,0.7625,Q03113; C9J1P7; P41220
zero-shot,Melanocortin Receptor 3 (MC3R),Homo Sapiens,Mouse (Mus musculus),MC3R is a G protein-coupled receptor that binds melanocortin peptides;  particularly γ-MSH (gamma-melanocyte stimulating hormone). In humans;  MC3R plays key roles in energy homeostasis;  inflammation regulation;  and cardiovascular function. It mediates anti-inflammatory effects through inhibition of NF-κB signaling pathways and modulates feeding behavior and metabolism. MC3R primarily signals through Gαs proteins;  activating adenylyl cyclase and elevating intracellular cAMP levels. Unlike other melanocortin receptors;  MC3R has a distinct role in regulating energy partitioning rather than directly affecting total body weight.,MC3R ,MC3R (melanocortin 3 receptor); GNAS (G protein subunit alpha s); Various G protein beta and gamma subunit genes (GNB1-5;  GNG1-13),0.825,P41968
few-shot,Melanocortin Receptor 3,Homo Sapiens,Mouse,Melanocortin receptor 3 (MC3R) is a G protein-coupled receptor that plays an important role in energy homeostasis;  particularly in the regulation of energy input and expenditure. It mediates signals from melanocortin peptides such as α-MSH;  β-MSH;  γ-MSH;  and ACTH. The activation of MC3R leads to stimulation of adenylyl cyclase;  increased cAMP production;  and subsequent activation of various downstream signaling pathways. MC3R is involved in the central control of energy balance;  metabolic homeostasis;  and inflammation. Unlike MC4R;  which primarily affects food intake;  MC3R appears to be more involved in nutrient partitioning and the regulation of energy efficiency.,Melanocortin receptor 3,MC3R,0.925,P41968
contextual,Melanocortin receptor 3,Homo Sapiens,Mouse,Melanocortin receptor 3 (MC3R) is a G protein-coupled receptor that binds melanocortin peptides including α-MSH;  β-MSH;  γ-MSH;  and ACTH. It plays a critical role in energy homeostasis;  particularly in the regulation of energy intake and expenditure. MC3R regulates feeding behavior;  metabolism;  and is involved in the central control of inflammatory responses. It functions in the hypothalamus to modulate food intake and energy balance;  with distinct roles from the related MC4R.,Melanocortin receptor 3,MC3R,0.925,P41968
zero-shot,ATP1A1-TSHR complex,Homo Sapiens,Mouse (Mus musculus),The ATP1A1-TSHR complex facilitates the interaction between the sodium-potassium ATPase alpha-1 subunit (ATP1A1) and the thyroid-stimulating hormone receptor (TSHR). This complex is involved in thyroid hormone signaling and regulation of thyroid function. ATP1A1 functions as a non-canonical receptor for thyroid-stimulating hormone (TSH);  and when complexed with TSHR;  it contributes to the modulation of intracellular signaling cascades that regulate thyroid hormone production and secretion. The complex also plays a role in maintaining sodium and potassium ion gradients across cell membranes while participating in thyroid-specific signal transduction.,Sodium/potassium-transporting ATPase subunit alpha-1; Thyrotropin receptor,ATP1A1; TSHR,0.61,B7Z1N5; A0A1B0GUJ5
few-shot,ATP1A1-TSHR complex,Homo Sapiens,Mouse,This complex forms when the sodium-potassium ATPase (Na⁺/K⁺-ATPase) alpha-1 subunit (ATP1A1) interacts with the thyroid-stimulating hormone receptor (TSHR). This interaction mediates non-canonical signaling pathways independent of G protein coupling. The complex participates in thyroid hormone-responsive signaling cascades and may regulate cell growth;  differentiation;  and metabolism in thyroid tissue.,Sodium/potassium-transporting ATPase subunit alpha-1;  Thyrotropin receptor,ATP1A1;  TSHR,0.7775,B7Z1N5; A0A1B0GUJ5
contextual,ATP1A1-TSHR complex,Homo Sapiens,Mouse,This complex represents a functional interaction between the sodium-potassium ATPase (specifically the alpha-1 subunit) and the thyroid-stimulating hormone receptor. The interaction modulates thyroid hormone signaling and influences sodium-potassium transport across cell membranes in thyroid tissue. The complex plays a critical role in thyroid cell function by coordinating hormone receptor signaling with membrane ion homeostasis.,Sodium/potassium-transporting ATPase subunit alpha-1;  Thyrotropin receptor,ATP1A1;  TSHR,0.8075,B7Z1N5; A0A1B0GUJ5
zero-shot,ADRA1B-CXCR4 heterodimeric complex,Homo Sapiens,Mouse (Mus musculus),The ADRA1B-CXCR4 heterodimeric complex functions in cross-talk between adrenergic and chemokine signaling pathways in humans. This complex forms when alpha-1B adrenergic receptor (ADRA1B) heterodimerizes with the chemokine receptor CXCR4. The formation of this complex modulates calcium signaling;  receptor trafficking;  and cellular responses to both adrenergic stimuli and CXCL12 (the ligand for CXCR4). This interaction has implications for vascular smooth muscle function;  immune cell migration;  and potentially cancer cell metastasis.,Alpha-1B adrenergic receptor; C-X-C chemokine receptor type 4,ADRA1B (Gene ID: 147); CXCR4 (Gene ID: 7852),0.675,P35368; A0A0U3GXA9
few-shot,ADRA1B-CXCR4 complex,Homo Sapiens,Mouse,This complex forms through heteromerization of alpha-1B adrenergic receptor (ADRA1B) and C-X-C chemokine receptor type 4 (CXCR4). The complex modulates cellular signaling pathways with enhanced calcium mobilization and altered G protein coupling compared to individual receptors. It plays roles in chemotaxis;  cell migration;  and vascular smooth muscle regulation.,Alpha-1B adrenergic receptor;  C-X-C chemokine receptor type 4,ADRA1B;  CXCR4,0.7825,P35368; A0A0U3GXA9
contextual,ADRA1B-CXCR4 Complex,Homo Sapiens,Mouse,This heterodimeric complex formed between the alpha-1B adrenergic receptor (ADRA1B) and C-X-C chemokine receptor type 4 (CXCR4) is involved in modulating calcium signaling;  receptor trafficking;  and cellular responses to adrenergic and chemokine stimulation. The interaction between these G protein-coupled receptors (GPCRs) appears to enhance CXCR4-mediated chemotaxis and alter signaling pathways compared to the individual receptors acting alone.,Alpha-1B adrenergic receptor;  C-X-C chemokine receptor type 4,ADRA1B;  CXCR4,0.7575,P35368; A0A0U3GXA9
zero-shot,Bradykinin B2 receptor-Thromboxane A2 receptor complex (Bdkrb2-Tbxa2r complex),Mus Musculus,Human (Homo sapiens),The Bdkrb2-Tbxa2r complex functions as a heterodimeric G protein-coupled receptor complex that integrates signaling between the bradykinin and thromboxane pathways in vascular smooth muscle cells. This complex mediates enhanced calcium signaling compared to the individual receptors alone;  contributing to vascular tone regulation;  inflammatory responses;  and pain perception. The complex formation allows for cross-talk between bradykinin and thromboxane A2 signaling pathways;  potentially increasing sensitivity to both ligands and modulating downstream effects on blood pressure;  and nociception.,Bradykinin receptor B2; Thromboxane A2 receptor,Bdkrb2; Tbxa2r,0.735,P32299; Q712P5
few-shot,Bdkrb2-Tbxa2r complex,Mus Musculus,Human,This complex involves the heterodimeric interaction between bradykinin receptor B2 (Bdkrb2) and thromboxane A2 receptor (Tbxa2r);  functioning primarily in vascular smooth muscle cell signaling. The complex modulates vasoconstriction;  platelet aggregation;  and inflammatory responses through enhanced G-protein signaling. The physical interaction between these receptors amplifies downstream signaling cascades;  particularly those involved in calcium mobilization and MAP kinase activation in response to their respective ligands.,Bradykinin receptor B2;  Thromboxane A2 receptor,Bdkrb2;  Tbxa2r,0.7775,P32299; Q712P5
contextual,Bdkrb2-Tbxa2r complex,Mus Musculus,Human,This complex consists of the bradykinin B2 receptor (Bdkrb2) and thromboxane A2 receptor (Tbxa2r);  which functionally interact to regulate vascular smooth muscle contraction;  platelet aggregation;  and inflammatory responses. The heterodimeric complex enhances signaling sensitivity to both bradykinin and thromboxane A2;  leading to amplified calcium mobilization and enhanced vasoconstriction compared to the individual receptors.,Bradykinin receptor B2; Thromboxane A2 receptor,Bdkrb2; Tbxa2r,0.7425,P32299; Q712P5
zero-shot,Drd3-Ednrb complex,Mus Musculus,Human (Homo sapiens),The Drd3-Ednrb complex plays a role in the development of melanocytes and enteric neurons. It is involved in neural crest cell migration and development;  particularly in the colon. The interaction between these two G protein-coupled receptors appears to modulate dopaminergic and endothelin signaling;  affecting neural crest-derived cell lineages. This complex has been implicated in Hirschsprung's disease pathophysiology and intestinal aganglionosis.,DRD3; Endothelin receptor type B,Drd3; Ednrb,0.675,P30728; Q8K1V9
few-shot,Drd3-Ednrb complex,Mus Musculus,Human,This protein complex appears to be involved in the interaction between dopamine D3 receptor and endothelin receptor type B signaling pathways in the central nervous system. The complex may play a role in modulating neuronal signaling;  particularly in regions with co-expression of both receptors such as the striatum. The interaction potentially influences dopaminergic transmission and vascular function in specific brain regions.,DRD3;  Endothelin receptor type B,Drd3;  Ednrb,0.675,P30728; Q8K1V9
contextual,Drd3-Ednrb complex,Mus Musculus,Human,This protein complex involves the interaction between dopamine receptor D3 and endothelin receptor type B;  which plays a role in modulating neurotransmission and vasomotor function. The complex participates in the cross-talk between dopaminergic and endothelin signaling pathways;  particularly in neural tissues including midbrain dopaminergic neurons;  where it influences neuronal development;  synaptic plasticity;  and potentially contributes to neuroprotection mechanisms.,DRD3;  Endothelin receptor type B,Drd3;  Ednrb,0.7775,P30728; Q8K1V9
zero-shot,Egflam-Gpr179 complex,Mus Musculus,Human (Homo sapiens),The Egflam-Gpr179 complex plays a critical role in retinal signal transmission;  specifically in maintaining the structure of the synaptic cleft at the dendrites of ON-bipolar cells. Egflam (also known as Pikachurin) is an extracellular matrix protein that binds to α-dystroglycan and is crucial for the apposition of bipolar cell dendritic tips to photoreceptor ribbon synapses. Gpr179 is a G-protein coupled receptor that recruits the RGS7-Gβ5 complex to the dendritic tips of ON-bipolar cells and is essential for depolarizing bipolar cell function. Together;  they form a complex at the photoreceptor-bipolar cell synapse that is critical for proper visual signal processing and transmission.,Egflam; Gpr179 ,Egflam; Gpr179,0.825,Q4VBE4; E9PY61
few-shot,Egflam-Gpr179 Complex,Mus Musculus,Human,This complex is critical for the proper function of retinal bipolar cells in the visual signal transduction pathway. It mediates the localization of mGluR6 receptors to the dendritic tips of ON-bipolar cells at the photoreceptor-to-bipolar cell synapse. The complex is essential for transmitting visual signals from photoreceptors to ON-bipolar cells;  and mutations in its components cause congenital stationary night blindness.,Eyes shut homolog;  G-protein coupled receptor 179,Egflam;  Gpr179,0.925,Not Found; E9PY61
contextual,Egflam-Gpr179 complex,Mus Musculus,Human,This complex functions in the retina as a critical scaffold in the synaptic cleft between bipolar cells and photoreceptors. It plays an essential role in the assembly of the transduction machinery at the dendritic tips of ON-bipolar cells;  specifically at the site where the metabotropic glutamate receptor mGluR6 is localized. The complex anchors the G-protein coupled receptor GPR179 to the extracellular matrix;  which in turn is required for proper localization of RGS proteins that regulate the mGluR6 signaling cascade. Disruption of this complex leads to congenital stationary night blindness (CSNB) due to defective synaptic transmission from photoreceptors to ON-bipolar cells.,EGF-like;  fibronectin type III and laminin G domains protein; G-protein coupled receptor 179,Egflam; Gpr179,0.895,"E9Q4M7; 	
Q4VBE4; E9PY61"
zero-shot,Ceacam1-4L-Syk-Tlr4 complex,Mus Musculus,Human (although the specific 4L isoform interaction with TLR4 and SYK has been most extensively characterized in murine models),The Ceacam1-4L-Syk-Tlr4 complex functions as a regulatory signaling assembly in the immune system. It serves as a critical negative regulator of TLR4-mediated inflammatory responses;  particularly in bacterial infections. When CEACAM1-4L interacts with TLR4;  it recruits SYK kinase;  leading to inhibition of MyD88-dependent NF-κB activation. This complex plays an essential role in preventing excessive inflammatory responses to pathogens;  especially gram-negative bacteria;  and helps maintain immune homeostasis in mucosal tissues.,CEACAM1-4L; SYK; TLR4,Ceacam1 (encodes CEACAM1-4L through alternative splicing); Syk; Tlr4,0.81,"	
P31809; P48025; Q8BQ47"
few-shot,Ceacam1-4L-Syk-Tlr4 complex,Mus Musculus,Human,This complex plays a pivotal role in negative regulation of Toll-like receptor 4 (TLR4) signaling in response to lipopolysaccharide (LPS) from gram-negative bacteria. When CEACAM1-4L binds to TLR4;  it recruits Syk kinase;  which phosphorylates the intracellular domain of TLR4;  thereby inhibiting downstream inflammatory signaling pathways and preventing excessive inflammatory responses.,Carcinoembryonic antigen-related cell adhesion molecule 1;  CEACAM1-4L; Spleen tyrosine kinase; Toll-like receptor 4,Ceacam1; Syk; Tlr4,0.8475,"P31809; 	
P31809; P48025; L0CMZ8"
contextual,Ceacam1-4L-Syk-Tlr4 complex,Mus Musculus,Human,This complex forms during innate immune signaling to regulate inflammatory responses. It functions as a negative regulator of Toll-like receptor 4 (TLR4) signaling by inhibiting the lipopolysaccharide (LPS)-induced inflammatory cascade. When CEACAM1-4L binds to TLR4;  it recruits SYK (spleen tyrosine kinase);  which promotes the inhibitory effects on inflammatory cytokine production;  helping to prevent excessive inflammation and endotoxic shock.,Carcinoembryonic antigen-related cell adhesion molecule 1 isoform 4L;  Spleen tyrosine kinase;  Toll-like receptor 4,Ceacam1;  Syk;  Tlr4,0.81,"	
P31809; P48025; L0CMZ8"
zero-shot,KDR-NRP1-VEGF165 Complex,Homo Sapiens,Mouse (Mus musculus),This complex forms a receptor-coreceptor-ligand signaling platform essential for vascular endothelial cell migration;  proliferation;  survival;  and angiogenesis. The interaction between KDR (VEGFR2);  NRP1 (neuropilin-1);  and VEGF165 enhances VEGF signaling by increasing binding affinity and receptor activation. This complex mediates downstream signaling cascades that regulate physiological and pathological angiogenesis;  vascular permeability;  and vessel maturation.,KDR; NRP1; VEGF165 ,KDR - Located on chromosome 4q12; NRP1 - Located on chromosome 10p11.22; VEGFA - Located on chromosome 6p21.1 (produces multiple isoforms including VEGF165),0.9475,"P35968; Q5JWQ4; 	
P15692"
few-shot,KDR-NRP1-VEGF165 complex,Homo Sapiens,Mouse,This complex forms a signaling receptor assembly that mediates vascular endothelial growth factor (VEGF) signaling. It plays a critical role in angiogenesis (formation of new blood vessels);  vascular permeability;  and endothelial cell survival;  proliferation;  and migration. The complex formation enhances VEGF165 binding to KDR/VEGFR2;  potentiating downstream signal transduction pathways that regulate vascular development and maintenance.,Vascular endothelial growth factor receptor 2; Neuropilin-1; Vascular endothelial growth factor A isoform 165,KDR (kinase insert domain receptor); NRP1 (neuropilin 1); VEGFA (vascular endothelial growth factor A),0.955,"A0A0H4A7S4; Q5JWQ4; 	
P15692"
contextual,KDR-NRP1-VEGF165 complex,Homo Sapiens,Mouse,This complex mediates vascular endothelial growth factor (VEGF) signaling;  regulating angiogenesis;  vascular permeability;  and endothelial cell migration;  proliferation;  and survival. The complex formation enhances VEGF165 binding to KDR (VEGFR2);  increasing receptor phosphorylation and downstream signaling;  which is critical for both physiological and pathological blood vessel formation.,Vascular endothelial growth factor receptor 2; Neuropilin-1; Vascular endothelial growth factor A isoform 165,KDR; NRP1; VEGFA,0.9475,"A0A0H4A7S4; Q5JWQ4; 	
P15692"
zero-shot,NRP1-VEGF121 Complex,Homo Sapiens,Mouse (Mus musculus),The NRP1-VEGF121 complex plays a critical role in angiogenesis (blood vessel formation) and vascular development. VEGF121 is a shorter isoform of VEGF-A that lacks heparin-binding domains but retains the ability to bind to NRP1. This complex formation facilitates signaling through VEGFR2 (VEGF Receptor 2);  enhancing endothelial cell migration;  proliferation;  and vascular permeability. The NRP1-VEGF121 interaction is particularly important during embryonic development and in pathological conditions such as tumor angiogenesis;  where it contributes to vessel formation and tumor growth.,Neuropilin-1: A transmembrane glycoprotein that acts as a co-receptor for VEGF; Vascular Endothelial Growth Factor A; VEGF121,NRP1 (for Neuropilin-1); VEGFA (for VEGF121;  which is a splice variant of the VEGFA gene),0.895,"	
O14786; P15692; 	
P15692"
few-shot,NRP1-VEGF121 complex,Homo Sapiens,Mouse,The NRP1-VEGF121 complex plays a crucial role in mediating angiogenesis and vascular development. When VEGF121 (a soluble isoform of vascular endothelial growth factor A) binds to neuropilin-1 (NRP1);  it enhances VEGFR2 signaling and promotes endothelial cell migration;  proliferation;  and vascular permeability. This complex is particularly important during embryonic development and in pathological conditions such as tumor angiogenesis and metastasis.,Neuropilin-1;  Vascular endothelial growth factor A,NRP1;  VEGFA,0.955,Q5JWQ4; P15692
contextual,NRP1-VEGF121 complex,Homo Sapiens,Mouse,This complex plays a critical role in angiogenesis and vascular development. NRP1 serves as a co-receptor for VEGF121;  enhancing VEGFR2 signaling and promoting endothelial cell migration and blood vessel formation. The complex is also involved in neuronal development;  axon guidance;  and immune cell function. In tumor biology;  this complex contributes to pathological angiogenesis supporting tumor growth and metastasis.,Neuropilin-1; Vascular Endothelial Growth Factor A;  isoform 121,NRP1; VEGFA (specifically producing the 121 amino acid isoform),0.9475,Q5JWQ4; P15692
zero-shot,KDR-VEGF165 complex,Homo Sapiens,Mouse (Mus musculus),The KDR-VEGF165 complex plays a critical role in angiogenesis;  the formation of new blood vessels. When VEGF165 (a splice variant of vascular endothelial growth factor A) binds to KDR (also known as VEGFR2);  it triggers receptor dimerization and autophosphorylation;  initiating downstream signaling cascades. These pathways promote endothelial cell proliferation;  migration;  survival;  and vascular permeability. The complex is essential for both physiological angiogenesis during development and wound healing;  as well as pathological angiogenesis in diseases such as cancer and diabetic retinopathy.,VEGFR2 or Vascular Endothelial Growth Factor Receptor 2; VEGF165,KDR gene (encodes KDR/VEGFR2); VEGFA gene (encodes VEGF165 through alternative splicing),0.955,P35968; P15692
few-shot,KDR-VEGF165 complex,Homo Sapiens,Mouse,This protein complex mediates vascular endothelial cell proliferation;  survival;  migration;  and angiogenesis. When VEGF165 (a splice variant of VEGFA) binds to KDR (VEGFR2);  it triggers receptor dimerization and autophosphorylation;  activating downstream signaling cascades that regulate blood vessel formation;  vascular permeability;  and endothelial cell function. The complex is crucial for both physiological angiogenesis during development and pathological angiogenesis in diseases such as cancer.,Vascular endothelial growth factor receptor 2;  Vascular endothelial growth factor A,KDR;  VEGFA,0.955,A0A0H4A7S4; P15692
contextual,KDR-VEGF165 complex,Homo Sapiens,Mouse,The KDR-VEGF165 complex is critical for mediating angiogenesis;  vascular permeability;  and endothelial cell survival. When VEGF165 (a major isoform of VEGF-A) binds to KDR (also known as VEGFR-2);  it triggers receptor dimerization and autophosphorylation;  activating downstream signaling cascades that promote endothelial cell proliferation;  migration;  and tube formation. This complex plays a fundamental role in both developmental and pathological angiogenesis;  including tumor vascularization.,Vascular endothelial growth factor receptor 2; Vascular endothelial growth factor A,KDR (for VEGFR-2); VEGFA (for VEGF165),0.955,A0A0H4A7S4; P15692
zero-shot,FLT4-VEGFC Complex,Homo Sapiens,Mouse (Mus musculus),The FLT4-VEGFC complex functions primarily in lymphangiogenesis - the formation of lymphatic vessels from pre-existing lymphatic vessels. Upon binding of VEGFC to the FLT4 receptor (also known as VEGFR-3);  the receptor dimerizes and undergoes autophosphorylation;  activating downstream signaling pathways including PI3K/Akt and MAPK cascades. This signaling promotes lymphatic endothelial cell proliferation;  migration;  and survival. The complex also plays roles in embryonic cardiovascular development and pathological angiogenesis in certain diseases.,FLT4; VEGFC,FLT4; VEGFC,0.955,L8EBH4; Q6FH59
few-shot,FLT4-VEGFC complex,Homo Sapiens,Mouse,The FLT4-VEGFC complex is primarily involved in lymphangiogenesis;  the formation of new lymphatic vessels. Upon binding of VEGFC to the FLT4 receptor (also known as VEGFR3);  the complex initiates intracellular signaling cascades that stimulate lymphatic endothelial cell proliferation;  migration;  and survival. This complex is essential for lymphatic vessel development during embryogenesis and plays a role in lymphatic vessel maintenance in adults. It also contributes to tumor lymphangiogenesis and lymphatic metastasis in various cancers.,Vascular endothelial growth factor receptor 3; Vascular endothelial growth factor C,FLT4; VEGFC,0.955,A0A0A7DZ60; P49767
