Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score,Accession_Mapped
few-shot,GNA12-GPR55-RGS2 complex,Homo Sapiens,Mouse,This complex is involved in G protein-coupled signaling. GPR55 is an orphan G protein-coupled receptor that can couple to the GNA12 (Gα12) subunit;  facilitating intracellular signaling pathways (notably activation of RhoA);  while RGS2 negatively regulates this signaling through its GTPase-activating activity;  thereby modulating signal duration and intensity.,G protein subunit alpha 12;  G protein-coupled receptor 55;  Regulator of G-protein signaling 2,GNA12;  GPR55;  RGS2,0.935,C9J2Y7; C9J1P7; P41220
contextual,GNA12-GPR55-RGS2 complex,Homo Sapiens,Mouse,This complex is involved in G protein-coupled signal transduction;  specifically modulating cellular responses to lysophosphatidylinositol (LPI) and cannabinoids. GPR55 is an orphan G protein-coupled receptor that can couple to the G protein alpha subunit GNA12;  leading to downstream signaling including RhoA activation;  RGS2 acts as a regulator;  enhancing the GTPase activity of GNA12;  thereby attenuating the signal. The assembly of this complex is implicated in various cellular processes;  including proliferation;  migration;  and possibly nociception and inflammation.,Guanine nucleotide-binding protein G12;  G-protein coupled receptor 55;  Regulator of G-protein signaling 2,GNA12;  GPR55;  RGS2,0.925,Q03113; C9J1P7; P41220
zero-shot,Melanocortin Receptor 3 Complex,Homo Sapiens,Mouse (Mus musculus),The Melanocortin Receptor 3 (MC3R) complex is a G protein-coupled receptor (GPCR) complex that mediates responses to melanocortin peptides (e.g.;  α-MSH;  β-MSH;  γ-MSH) and regulates energy homeostasis;  feeding behavior;  and circadian rhythm;  with particular roles in nutrient partitioning and adiposity.,Melanocortin receptor 3,MC3R (gene encoding melanocortin receptor 3);  GNAS (in context of signaling;  but not a stable complex member),1.0,P41968
few-shot,Melanocortin receptor 3 complex,Homo Sapiens,Mouse,G-protein-coupled receptor (GPCR) involved in the regulation of energy homeostasis;  feeding behavior;  and metabolism via activation by melanocortin peptides such as α-;  β-;  and γ-MSH.,Melanocortin receptor 3,MC3R,0.955,P41968
contextual,Melanocortin 3 receptor (MC3R) complex,Homo Sapiens,Mouse,G protein-coupled receptor primarily involved in the regulation of energy homeostasis;  feeding behavior;  and metabolism. Mediates effects of melanocortins (e.g.;  ACTH;  α-MSH) by activating adenylate cyclase and increasing intracellular cAMP.,Melanocortin receptor 3,MC3R,0.985,P41968
zero-shot,ATP1A1-TSHR complex,Homo Sapiens,None (There is no direct evidence or published experimental data supporting the existence of this specific ATP1A1-TSHR complex in Mouse;  C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae.),The ATP1A1-TSHR complex is a recently proposed protein-protein interaction between the Na+/K+ ATPase α1 subunit (ATP1A1) and the thyroid-stimulating hormone receptor (TSHR) at the plasma membrane. This complex has been implicated in modulating TSH-stimulated cAMP signaling and cellular sodium-potassium ion homeostasis in human thyroid follicular cells. The interaction may be relevant in the regulation of thyroid hormone synthesis and release.,ATP1A1; TSHR,ATP1A1 (gene encoding Na+/K+ ATPase α1 subunit); TSHR (gene encoding thyroid-stimulating hormone receptor),0.88,A0A2H4Y9T5; Q0VAP8
few-shot,ATP1A1-TSHR complex,Homo Sapiens,Mouse (primary evidence limited in non-human models among listed organisms),Putative functional protein-protein association between the sodium/potassium-transporting ATPase subunit alpha-1 (Na⁺/K⁺ ATPase) and the thyroid-stimulating hormone receptor (TSHR);  some reports suggest a mechanistic crosstalk between TSH-induced signaling and Na⁺/K⁺ ATPase activity in thyroid follicular cells;  implicating this interaction in thyroid hormone synthesis regulation and ion homeostasis.,Sodium/potassium-transporting ATPase subunit alpha-1;  Thyroid stimulating hormone receptor,ATP1A1;  TSHR,0.865,B7Z1N5; A0A2R8Y709
contextual,ATP1A1-TSHR complex,Homo Sapiens,,The ATP1A1-TSHR complex is formed via the physical interaction between the Na+/K+ ATPase alpha-1 subunit (ATP1A1) and the thyroid-stimulating hormone receptor (TSHR). This interaction modulates TSHR signaling and Na+/K+ ATPase activity in human thyroid cells;  influencing thyroid hormone production and cellular ion homeostasis.,Sodium/potassium-transporting ATPase subunit alpha-1;  Thyroid stimulating hormone receptor,ATP1A1;  TSHR,0.934,B7Z1N5; A0A2R8Y709
zero-shot,ADRA1B-CXCR4 complex,Homo Sapiens,No experimental or literature-supported evidence currently exists for the formation of the ADRA1B-CXCR4 complex in Mouse (Mus musculus);  Caenorhabditis elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae.,The ADRA1B-CXCR4 complex is a heteromeric protein-protein interaction between two G protein-coupled receptors (GPCRs): adrenergic receptor alpha-1B (ADRA1B) and C-X-C chemokine receptor type 4 (CXCR4). In Homo sapiens;  this complex formation modulates intracellular signaling pathways;  specifically enabling CXCR4 to induce transactivation of ADRA1B-dependent Gq/11 signaling cascades;  which are otherwise typically independent of each other. This interaction influences cell migration;  proliferation;  and possibly cancer progression via altered responses to their respective ligands (noradrenaline for ADRA1B;  CXCL12/SDF-1 for CXCR4).,Adrenergic receptor alpha-1B;  C-X-C chemokine receptor type 4,ADRA1B;  CXCR4,0.94,P35368; A0A0U3GXA9
few-shot,ADRA1B-CXCR4 complex,Homo Sapiens,N/A (no validated evidence for this complex in Mouse;  C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae),The ADRA1B-CXCR4 complex is a protein-protein interaction between the alpha-1B adrenergic receptor (ADRA1B) and the C-X-C chemokine receptor type 4 (CXCR4). In Homo sapiens;  this complex has been shown to modulate G-protein coupled receptor (GPCR) signaling;  leading to transinhibition of Gq protein signaling by the Gi-coupled receptor CXCR4 upon agonist stimulation. This crosstalk has regulatory effects on downstream cellular responses such as cell migration;  calcium signaling;  and potentially cancer cell metastasis.,Alpha-1B adrenergic receptor;  C-X-C chemokine receptor type 4,ADRA1B;  CXCR4,0.955,P35368; A0A0U3GXA9
contextual,ADRA1B-CXCR4 complex,Homo Sapiens,Mouse,The ADRA1B-CXCR4 complex is a heteromeric receptor complex formed by the physical association between the alpha-1B adrenergic receptor (ADRA1B) and the C-X-C chemokine receptor type 4 (CXCR4). This complex modulates signaling pathways distinct from those regulated by either receptor alone;  including enhanced G-protein and β-arrestin mediated signaling;  and alters responses to endogenous ligands such as norepinephrine and CXCL12. The complex has been implicated in tumorigenesis;  cell migration;  and metastasis in various cancers.,Alpha-1B adrenergic receptor;  C-X-C chemokine receptor type 4,ADRA1B;  CXCR4,0.925,P35368; A0A0U3GXA9
zero-shot,Bdkrb2-Tbxa2r Complex,Homo Sapiens,Not confirmed in Mouse;  C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae.,The Bdkrb2-Tbxa2r complex is a heterodimeric association between the Bradykinin receptor B2 (Bdkrb2) and Thromboxane A2 receptor (Tbxa2r);  both of which are G protein-coupled receptors (GPCRs). In humans;  this complex modulates intracellular calcium signaling and vascular tone regulation. The interaction between these two receptors has been experimentally linked to altered vasoconstriction responses and may play a role in thrombosis and vascular inflammation;  potentially affecting cardiovascular homeostasis and disease.,Bradykinin receptor B2;  Thromboxane A2 receptor,BDKRB2 (encoding Bdkrb2);  TBXA2R (encoding Tbxa2r),0.919,P30411; K7ER80
few-shot,Bdkrb2-Tbxa2r complex,Homo Sapiens,Mouse,Presumed heteromeric G-protein coupled receptor (GPCR) complex involved in modulating vascular tone and thromboxane signaling. Evidence suggests the complex may influence vasoconstriction and inflammatory responses via functional interactions between bradykinin and thromboxane pathways.,Bradykinin receptor B2;  Thromboxane A2 receptor,BDKRB2;  TBXA2R,0.805,P30411; K7ER80
contextual,Bdkrb2-Tbxa2r complex,Homo Sapiens,Mouse,Heteromeric G protein-coupled receptor (GPCR) complex formed between Bradykinin receptor B2 (Bdkrb2) and Thromboxane A2 receptor (Tbxa2r);  implicated in modulating signal transduction pathways relevant to vascular tone;  inflammation;  and platelet aggregation. The formation of this heteromer influences ligand binding properties and downstream signaling;  contributing to the regulation of cardiovascular and inflammatory responses.,Bradykinin receptor B2;  Thromboxane A2 receptor,BDKRB2;  TBXA2R,0.9049,P30411; K7ER80
zero-shot,Drd3-Ednrb Complex,Mus Musculus,Not confirmed in Human;  Caenorhabditis elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae as a functional complex.,The Drd3-Ednrb complex involves the physical association between dopamine receptor D3 (Drd3) and endothelin receptor type B (Ednrb);  two G protein-coupled receptors (GPCRs). Experimental data in mouse nervous tissue suggest that this heteromeric complex modulates dopaminergic neurotransmission and endothelin signaling;  potentially impacting neurovascular regulation and neurotransmitter release patterns in the brain.,Dopamine receptor D3;  Endothelin receptor type B,Drd3 (MGI:94919);  Ednrb (MGI:95297),0.94,P30411; Q8K1V9
few-shot,Drd3-Ednrb complex,Mus Musculus,Human,Heteromeric complex between the dopamine receptor D3 (Drd3) and endothelin receptor type B (Ednrb);  implicated in modulating neurotransmission;  dopaminergic signaling;  and endothelin-mediated pathways in the brain;  potentially affecting neuropsychiatric function and vascular regulation. Experimental evidence suggests receptor heteromerization can modulate ligand binding and downstream signaling.,DRD3;  Endothelin receptor type B,Drd3;  Ednrb,0.87,P30728; Q8K1V9
contextual,Drd3-Ednrb complex,Homo Sapiens,Mouse,This complex is formed by the interaction of the Dopamine receptor D3 (DRD3) and the Endothelin receptor type B (EDNRB);  both of which are G protein-coupled receptors. The functional significance involves modulation of neurochemical signaling pathways;  primarily affecting dopaminergic and endothelin-mediated processes such as neurovascular regulation and neurotransmitter release. Direct functional characterization of this heteromeric complex has been documented in dopaminergic neuronal systems;  impacting receptor crosstalk and signaling bias.,DRD3;  Endothelin receptor type B,DRD3;  EDNRB,0.925,Q9NY31; A0A172Q393
zero-shot,Egflam-GPR179 complex,Mus Musculus,Human,The Egflam-GPR179 complex is essential for the localization and function of G protein-coupled receptor 179 (GPR179) at the dendritic tips of ON-bipolar cells in the retina. This complex is crucial for proper synaptic transmission in the visual pathway;  specifically mediating the ON response in retinal signal transduction from photoreceptors to ON-bipolar cells. Mutations affecting this complex can lead to congenital stationary night blindness (cCSNB) due to disrupted signal relay in the retina.,Egflam protein;  Gpr179 protein,Egflam (previously known as Pikachurin);  Gpr179,0.9775,Q4VBE4; E9PY61
few-shot,Egflam-Gpr179 complex,Mus Musculus,Human,The Egflam-Gpr179 complex is essential for synaptic transmission in the retinal ON bipolar cells. Egflam (also known as Pikachurin) interacts extracellularly with the orphan G protein-coupled receptor GPR179 to facilitate localization and functional organization of the post-synaptic signaling machinery required for visual signal transduction. Loss or disruption of this complex results in abnormal visual signaling;  as observed in congenital stationary night blindness.,Pikachurin;  G protein-coupled receptor 179,Egflam;  Gpr179,0.925,Q4VBE4; E9PY61
contextual,Egflam-Gpr179 complex,Mus Musculus,Human,The Egflam-Gpr179 complex is an extracellular synaptic organizer critical for the proper functioning of the metabotropic glutamate receptor 6 (mGluR6) pathway in retinal ON bipolar cells. Egflam (also known as Pikachurin) mediates the trans-synaptic alignment and stabilization of GPR179 at the dendritic tips of ON bipolar cells;  which is essential for photoreceptor-to-bipolar cell signal transmission and vision.,Egflam;  Gpr179,Egflam (official gene symbol: Egflam);  Gpr179,0.97,Q4VBE4; E9PY61
zero-shot,Ceacam1-4L-Syk-Tlr4 complex,Mus Musculus,There is no robust evidence for the existence of this exact complex in Human;  C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae;  though orthologous proteins exist in Human;  but not the same characterized complex.,This complex is believed to mediate innate immune signaling;  with CEACAM1 (specifically its long cytoplasmic isoform 4L) acting as a co-receptor that interacts with TLR4 (Toll-like receptor 4) to modulate LPS (lipopolysaccharide) response in leukocytes. SYK (spleen tyrosine kinase) bridges signaling between CEACAM1 and TLR4;  resulting in the activation or suppression of inflammatory pathways;  particularly influencing cytokine production and immune cell activation.,CEACAM1-4L; SYK; TLR4,Ceacam1 (for CEACAM1-4L); Syk (for SYK); Tlr4 (for TLR4),0.95,P31809; P48025; Q8BQ47
few-shot,Ceacam1-4L-Syk-Tlr4 complex,Mus Musculus,,This complex is involved in the regulation of immune cell activation. Specifically;  CEACAM1-4L (Carcinoembryonic Antigen-Related Cell Adhesion Molecule 1;  isoform 4L) interacts with Syk (Spleen tyrosine kinase) and TLR4 (Toll-like receptor 4) to modulate signaling events in myeloid and endothelial cells;  orchestrating responses to pathogens and regulating inflammation in the mouse immune system.,CEACAM1-4L;  Syk;  Tlr4,Ceacam1;  Syk;  Tlr4,0.91,P31809; P48025; Q8BQ47
contextual,Ceacam1-4L-Syk-Tlr4 complex,Mus Musculus,,Acts as an immunoregulatory complex that integrates cell adhesion signaling (via Ceacam1);  immune receptor tyrosine kinase signaling (via Syk);  and pathogen-associated molecular pattern recognition (via Tlr4) to modulate inflammatory and immune cell responses;  especially in myeloid and epithelial cells.,Carcinoembryonic antigen-related cell adhesion molecule 1 long isoform;  Spleen tyrosine kinase;  Toll-like receptor 4,Ceacam1;  Syk;  Tlr4,0.88,P31809; P48025; L0CMZ8
zero-shot,KDR-NRP1-VEGF165 complex,Homo Sapiens,Mouse (homologous Kdr-Nrp1-Vegfa165 complex exists;  but functional and expression differences exist;  NOT found in C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae),Mediates high-affinity binding and cellular signaling in response to vascular endothelial growth factor (VEGF)-A165. This complex facilitates VEGF165-induced angiogenic signaling;  endothelial cell migration;  and new blood vessel formation via cooperative interaction of the VEGF165 ligand (VEGFA);  its primary receptor (KDR/VEGFR2);  and co-receptor NRP1 (Neuropilin-1);  optimizing downstream endothelial VEGFR2 signaling.,Kinase insert domain receptor; Neuropilin-1; Vascular endothelial growth factor A;  VEGFA165,KDR (for VEGFR2); NRP1 (for Neuropilin-1); VEGFA (for VEGFA165 peptide),0.985,A0A0U2VU55; Q5JWQ4; P15692; P15692
few-shot,KDR-NRP1-VEGF165 complex,Homo Sapiens,Mouse,This trimeric complex mediates the binding of the vascular endothelial growth factor A isoform 165 (VEGF165) to its principal receptor kinase (KDR/VEGFR2) and the coreceptor neuropilin-1 (NRP1);  which collectively initiates potent angiogenic signaling essential for physiological and pathological blood vessel formation.,Vascular endothelial growth factor receptor 2;  Neuropilin-1;  VEGFA-165,KDR;  NRP1;  VEGFA,0.985,A0A0H4A7S4; Q5JWQ4; P15692
contextual,KDR-NRP1-VEGF165 complex,Homo Sapiens,Mouse,This complex is involved in the high-affinity binding and signaling of Vascular Endothelial Growth Factor A165 (VEGF165);  a key mediator of angiogenesis. The complex forms when VEGF165 bridges the receptor tyrosine kinase KDR (also known as VEGFR2) and the co-receptor Neuropilin-1 (NRP1);  resulting in enhanced signaling required for endothelial cell proliferation;  migration;  and vascular development.,Vascular endothelial growth factor receptor 2;  Neuropilin-1;  VEGFA165,KDR;  NRP1;  VEGFA,0.97,A0A0H4A7S4; Q5JWQ4; P15692
zero-shot,NRP1-VEGF121 complex,Homo Sapiens,None (of Mouse;  C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae;  only Human expresses the physiologically relevant NRP1-VEGF121 complex;  while mouse expresses both paralogs;  the specific human NRP1 + VEGF121 isoform complex is primarily characterized in Human.),Mediates interaction between neuropilin-1 (NRP1) and the vascular endothelial growth factor 121 isoform (VEGF121);  facilitating VEGF-induced angiogenic signaling;  vascular permeability;  and endothelial cell migration in human vasculature.,Neuropilin-1;  Vascular Endothelial Growth Factor 121,NRP1 (neuropilin-1);  VEGFA (vascular endothelial growth factor A;  isoform 121),0.97,Q5JWQ4; P15692
few-shot,NRP1-VEGF121 complex,Homo Sapiens,Mouse,Mediates the binding of Vascular Endothelial Growth Factor 121 (VEGF121) to Neuropilin-1 (NRP1);  facilitating VEGF-induced angiogenesis through enhancement of VEGF signaling via its primary receptor (VEGFR2) on endothelial cells. This complex is critical for vascular development and modulation of endothelial cell function.,Neuropilin-1;  Vascular endothelial growth factor A,NRP1;  VEGFA,0.97,Q5JWQ4; P15692
contextual,NRP1-VEGF121 complex,Homo Sapiens,Mouse,Receptor-ligand complex in which Vascular Endothelial Growth Factor 121 (VEGF121) binds Neuropilin-1 (NRP1);  facilitating angiogenesis by enhancing VEGF receptor signaling and endothelial cell migration.,Neuropilin-1;  Vascular Endothelial Growth Factor 121 isoform,NRP1;  VEGFA,0.97,Q5JWQ4; P15692
zero-shot,KDR-VEGF165 complex,Homo Sapiens,Mouse (orthologs are present;  complex is functional in mouse);  not reported in C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae.,Mediates angiogenic signaling by binding the vascular endothelial growth factor VEGF165 isoform to the high-affinity receptor KDR (also known as VEGFR2);  promoting endothelial cell proliferation;  migration;  survival;  and vascular permeability;  central to vascular development;  tumor angiogenesis;  and wound healing.,KDR/VEGFR2;  VEGFA165,KDR (encodes VEGFR2);  VEGFA (encodes VEGF165),1.0,P35968; P15692
few-shot,KDR-VEGF165 complex,Homo Sapiens,Mouse,High-affinity receptor-ligand complex that initiates endothelial cell proliferation;  migration;  and new blood vessel formation (angiogenesis) in response to VEGF-A165 binding. Key player in physiological and pathological angiogenesis.,Vascular endothelial growth factor receptor 2;  Vascular endothelial growth factor A isoform 165,KDR;  VEGFA,1.0,A0A0H4A7S4; P15692
contextual,KDR-VEGF165 complex,Homo Sapiens,Mouse,KDR-VEGF165 is a ligand-receptor signaling complex essential for angiogenesis;  it mediates vascular endothelial cell proliferation;  migration;  and survival in response to vascular endothelial growth factor (VEGF) stimulation.,Vascular endothelial growth factor receptor 2;  Vascular endothelial growth factor A isoform 165,KDR (encodes VEGFR2);  VEGFA (encodes VEGF165),0.985,A0A0H4A7S4; P15692
zero-shot,FLT4-VEGFC complex,Homo Sapiens,Mouse (mus musculus;  orthologous complex is present and functionally conserved).,The FLT4-VEGFC complex mediates lymphangiogenesis and vascular development in human physiology. It is formed by the binding of the vascular endothelial growth factor C (VEGFC) ligand to its receptor FLT4 (also known as VEGFR-3);  primarily on the surface of lymphatic endothelial cells;  activating downstream signaling essential for the proliferation;  migration;  and survival of lymphatic endothelial cells.,FLT4;  VEGFC,FLT4 (Gene ID: 2324);  VEGFC (Gene ID: 7424),0.985,L8EBH4; Q6FH59
few-shot,FLT4-VEGFC complex,Homo Sapiens,Mouse,This is a receptor-ligand complex where VEGFC (Vascular Endothelial Growth Factor C) binds to the FLT4 (also known as VEGFR3;  Fms-related tyrosine kinase 4) receptor. The primary function is the regulation of lymphangiogenesis and;  to a lesser extent;  angiogenesis;  by promoting proliferation;  migration;  and survival of lymphatic endothelial cells.,Vascular endothelial growth factor C;  Vascular endothelial growth factor receptor 3,VEGFC;  FLT4,0.985,P49767; A0A0A7DZ60
contextual,FLT4-VEGFC complex,Homo Sapiens,Mouse,This is a receptor-ligand signaling complex involved in lymphangiogenesis. FLT4 (also known as VEGFR-3) is the endothelial receptor tyrosine kinase for the VEGFC ligand. Upon VEGFC binding;  FLT4 undergoes dimerization and autophosphorylation;  activating downstream signaling cascades that drive the development and maintenance of the lymphatic vasculature.,Vascular endothelial growth factor receptor 3;  Vascular endothelial growth factor C,FLT4;  VEGFC,0.985,A0A0A7DZ60; P49767
zero-shot,ITGA3-ITGB1 complex,Homo Sapiens,The specific ITGA3 (Integrin alpha-3) and ITGB1 (Integrin beta-1) pairing is also present in mouse;  but not in C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae.,The ITGA3-ITGB1 complex;  also known as the integrin α3β1 complex;  primarily mediates cell-extracellular matrix (ECM) adhesion. In humans;  it is especially important for cellular interactions with laminin in the basement membrane;  contributing to cell migration;  tissue morphogenesis;  wound healing;  and maintenance of epithelial tissue architecture. It plays a crucial role in kidney development;  skin integrity;  and tumor cell migration/metastasis.,Integrin alpha-3;  Integrin beta-1,ITGA3;  ITGB1,1.0,Q59F03; Q5T3E6
few-shot,ITGA3-ITGB1 complex,Homo Sapiens,Mouse,Heterodimeric cell surface receptor mediating cell-matrix adhesion;  with a prominent role in laminin binding;  cell migration;  signal transduction;  and regulation of cell morphology and proliferation;  crucial for epithelial integrity;  development;  and organogenesis in human tissues.,Integrin alpha-3;  Integrin beta-1,ITGA3;  ITGB1,1.0,Q59F03; Q5T3E6
contextual,ITGA3-ITGB1 complex,Homo Sapiens,Mouse,The ITGA3-ITGB1 complex forms the α3β1 integrin;  a transmembrane adhesion receptor primarily responsible for mediating cell-extracellular matrix adhesion;  especially to laminins and certain collagens. In humans;  it is crucial for epithelial cell adhesion;  migration;  signal transduction;  maintenance of basement membrane integrity;  and tissue morphogenesis. It also regulates interactions in development;  wound healing;  and cancer metastasis.,Integrin alpha-3;  Integrin beta-1,ITGA3;  ITGB1,1.0,Q59F03; Q5T3E6
