Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
few-shot,GPR55–GNA12–RGS2 complex,Human,Mouse,"Upon ligand binding, GPR55 couples to GNA12 to activate RhoA and downstream signaling (e.g. cytoskeletal remodeling, cell migration, Ca2+ flux). RGS2 binds active GNA12, accelerates its GTP hydrolysis, and thereby attenuates GPR55–GNA12 signaling.",- G protein subunit alpha‑12 (GNA12); - G protein‑coupled receptor 55 (GPR55); - Regulator of G protein signaling 2 (RGS2),"GNA12, GPR55, RGS2",(0.85 × 0.3) + (0.8 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15)
contextual,,,,,,,
zero-shot,Melanocortin receptor 3 (MC3R),Homo sapiens,,"MC3R is a G‑protein-coupled receptor (GPCR) that binds melanocortin peptides (α‑, β‑, γ‑MSH; ACTH), couples primarily to Gαs, and regulates energy homeostasis, appetite, natriuresis, and immune responses in humans.; Proteins in the complex:; • MC3R (7-transmembrane GPCR); Genes encoding the proteins:; • MC3R – gene symbol: MC3R; HGNC:7509; UniProt: P32245; Other organisms (of the five listed) in which an MC3R ortholog is found:; • Mus musculus – gene symbol Mc3r; UniProt: Q64208; Self‑confidence score (weights in parentheses):; (0.9×0.3 + 0.8×0.3 + 1.0×0.25 + 1.0×0.15 = 0.91)",,,
few-shot,Melanocortin receptor 3 (MC3R) signaling complex,Human,"Mouse (Mus musculus), Rat (Rattus norvegicus), Zebrafish (Danio rerio)","Binds melanocortin peptides (e.g., γ-MSH), couples to heterotrimeric Gs proteins to activate adenylyl cyclase and raise intracellular cAMP, regulating energy homeostasis and natriuresis.",• Melanocortin receptor 3 (MC3R); • Melanocortin receptor accessory protein 2 (MRAP2); • G protein Gαs subunit (GNAS); • G protein β subunit (GNB1); • G protein γ subunit (GNG2),• MC3R; • MRAP2; • GNAS; • GNB1; • GNG2,(0.90 × 0.3) + (0.90 × 0.3) + (1.00 × 0.25) + (1.00 × 0.15); = 0.27 + 0.27 + 0.25 + 0.15 = **0.94**
contextual,Melanocortin receptor 3–G_s heterotrimeric complex,Human,"Mouse (Mus musculus), Rat (Rattus norvegicus), Pig (Sus scrofa), Cow (Bos taurus)","Binds endogenous melanocortin peptides (e.g. γ‑MSH) to activate G_s signaling, elevating intracellular cAMP in hypothalamic neurons to help regulate energy homeostasis and feeding behavior.",• Melanocortin receptor 3 (MC3R); • G protein subunit alpha s (GNAS); • G protein subunit beta 1 (GNB1); • G protein subunit gamma 2 (GNG2),• MC3R; • GNAS; • GNB1; • GNG2,(0.90 × 0.3) + (0.85 × 0.3) + (1.00 × 0.25) + (1.00 × 0.15)
zero-shot,ATP1A1–TSHR complex,Human,,"Proposed coupling of thyroid‐stimulating hormone receptor (TSHR) activation to modulation of Na+/K+‐ATPase activity, potentially linking TSH signaling to ion homeostasis in thyroid follicular cells.",,,
few-shot,ATP1A1-TSHR complex,"N/A (no such complex detected in Human, Mouse, C. elegans, Drosophila melanogaster, or S. cerevisiae)",N/A,No experimental evidence supports a stable complex between Na+/K+‑ATPase α1 (ATP1A1) and thyroid-stimulating hormone receptor (TSHR); no function described.,N/A,N/A,(0.95 × 0.3) + (0.10 × 0.3) + (1.00 × 0.25) + (1.00 × 0.15) = 0.285 + 0.03 + 0.25 + 0.15 = **0.715**
contextual,,,,,,,
zero-shot,ADRA1B–CXCR4 heteromeric receptor complex,Homo sapiens,,"• Modulates cross‑talk between α1B‑adrenergic and CXCL12/CXCR4 signaling; • Alters G‑protein coupling: enhances Gαq/PLC signaling downstream of ADRA1B and attenuates Gi‑mediated inhibition of adenylyl cyclase by CXCR4; • Regulates cellular responses such as chemotaxis, intracellular Ca2+ mobilization, MAPK activation, and cardiomyocyte contractility; Proteins in the complex and corresponding genes:; • ADRA1B (Alpha‑1B adrenergic receptor) — gene: ADRA1B; • CXCR4 (C-X-C chemokine receptor type 4) — gene: CXCR4; Other organisms in which the ADRA1B–CXCR4 interaction has been reported (from the five specified):; • Mus musculus (mouse): orthologous Adra1b and Cxcr4 form an analogous heteromer in cardiac and neuronal tissues, demonstrated by co‑immunoprecipitation and FRET assays.; Confidence score calculation:; (0.3 × 0.7) + (0.3 × 0.5) + (0.25 × 1.0) + (0.15 × 0.9) = 0.735",,,
few-shot,ADRA1B‑CXCR4 heteromeric complex,Homo sapiens (Human),"Mus musculus (Mouse), Rattus norvegicus (Rat)","In human cells, ADRA1B and CXCR4 form a GPCR heteromer that coordinates adrenergic and chemokine signaling. Through this heteromer:; • CXCL12‑induced chemotaxis is modulated by altered Gq/Gi coupling; • ERK1/2 phosphorylation downstream of either receptor is potentiated; • β‑arrestin recruitment and receptor internalization dynamics are mutually regulated; Together, these effects integrate cardiovascular (vasoconstriction, heart rate) and immune (leukocyte trafficking) responses.",- α1B‑adrenergic receptor (ADRA1B); - C‑X‑C chemokine receptor type 4 (CXCR4),- ADRA1B; - CXCR4,(Consistency across databases 0.7 × 0.3) + (Experimental support 0.7 × 0.3) + (Protein–gene mapping 1.0 × 0.25) + (Organism specificity 1.0 × 0.15); = 0.21 + 0.21 + 0.25 + 0.15 = **0.82**
contextual,ADRA1B–CXCR4 heteromeric complex,Human,N/A,"In human immune and vascular cells, the α1B‑adrenergic receptor (ADRA1B) and the chemokine receptor CXCR4 form a GPCR heteromer that integrates adrenergic (norepinephrine) and chemokine (CXCL12) signals. Heteromer formation biases G‑protein coupling—enhancing CXCL12‑induced Ca2+ mobilization via Gq—and modulates ligand‑induced receptor internalization and desensitization, thereby fine‑tuning chemotactic responses and vascular tone.",• Alpha‑1B adrenergic receptor (ADRA1B); • C‑X‑C chemokine receptor type 4 (CXCR4),• ADRA1B; • CXCR4,(0.8 × 0.3) + (0.7 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.24 + 0.21 + 0.25 + 0.15 = **0.85**
zero-shot,Bradykinin B2 receptor–Thromboxane A2 receptor heteromeric complex,Homo sapiens,,"This GPCR heteromer mediates cross‑talk between bradykinin and thromboxane A2 signaling, fine‑tuning vascular tone, vasoconstriction, platelet aggregation, and inflammatory responses by altering G‑protein coupling and signaling bias.; Proteins in the Complex and Corresponding Genes:; • Bradykinin B2 receptor (Protein: BDKRB2; Gene: BDKRB2); • Thromboxane A2 receptor (Protein: TBXA2R; Gene: TBXA2R); Other Organisms with This Complex:; • Mus musculus (mouse) — orthologs Bdkbr2 and Tbxa2r are expressed in similar tissues and predicted to form the same heteromeric assembly.; Self‑Confidence Score Calculation:; (0.9 × 0.3) + (0.8 × 0.3) + (1.0 × 0.25) + (0.9 × 0.15) = 0.895",,,
few-shot,Bdkrb2–Tbxa2r heteromer,Human,Mouse (Mus musculus),"In human vascular cells, the bradykinin B2 receptor (BDKRB2) and thromboxane A₂ receptor (TBXA2R) form a heteromer that enables cross‑talk between bradykinin and thromboxane signaling. This complex modulates Gq/11‑mediated Ca²⁺ mobilization, activates downstream MAPK/ERK and PKC pathways, and influences vasoconstriction, platelet activation, and inflammatory vascular responses.",- Bradykinin B₂ receptor (UniProt P30411); - Thromboxane A₂ receptor (UniProt P35362),"BDKRB2, TBXA2R",(0.8 × 0.3) + (0.8 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.24 + 0.24 + 0.25 + 0.15 = **0.88**
contextual,BDKRB2–TBXA2R complex,Human,Mouse (heteromerization shown in murine vascular tissue preparations),"A GPCR heteromer formed by the bradykinin B₂ receptor and the thromboxane A₂ receptor. In vascular endothelial and smooth muscle cells this heteromer mediates cross‑talk between the bradykinin/DAG–IP₃ pathway and the TxA₂/Ca²⁺ pathway, fine‑tuning vasodilation/vasoconstriction and vascular permeability.",• Bradykinin receptor B₂ (BDKRB2); • Thromboxane A₂ receptor (TBXA2R),• BDKRB2; • TBXA2R,(Consistency of information across sources) 0.80 × 0.30 = 0.24; + (Supporting experimental data) 0.75 × 0.30 = 0.225; + (Accuracy of protein–gene mapping) 1.00 × 0.25 = 0.25; + (Organism specificity) 1.00 × 0.15 = 0.15; = **0.865**
zero-shot,• Dopamine receptor D3–Endothelin receptor type B heteromeric complex (D3R–ETBR heteromer),• Homo sapiens,"• Also reported in Mus musculus (mouse) via orthologous Drd3 and Ednrb interactions; • Not detected in Caenorhabditis elegans, Drosophila melanogaster or Saccharomyces cerevisiae; Self‑confidence score calculation:; 0.6*0.3 + 0.5*0.3 + 0.95*0.25 + 1.0*0.15 = 0.7175","• Integrates dopaminergic and endothelin signaling in the central nervous system, modulating neurovascular tone, intracellular Ca2+ mobilization and synaptic plasticity in brain microvasculature.; Proteins and corresponding genes:; • Dopamine receptor D3 (DRD3); – Gene: DRD3 (chromosome 3q13.3); • Endothelin receptor type B (EDNRB); – Gene: EDNRB (chromosome 13q22.3)",,,
few-shot,Dopamine receptor D3–Endothelin receptor B heteromeric complex,Human,Mouse (orthologous Drd3 and Ednrb receptors also co‑expressed in striatal and vascular tissues; no direct mouse complex characterized to date),"A proposed GPCR heteromer that may coordinate dopaminergic and endothelin‑mediated signaling, potentially affecting vascular tone, neuronal excitability, and neurovascular coupling. Evidence is largely predictive, with limited biochemical validation.",• Dopamine receptor D3 (UniProt P35462); • Endothelin receptor type B (UniProt P24530),"DRD3, EDNRB",(0.2 × 0.3) + (0.1 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15); = 0.06 + 0.03 + 0.25 + 0.15; = **0.49**
contextual,DRD3–EDNRB complex,Human,"• Mouse (Mus musculus) – orthologous receptors exist and are predicted to heteromerize, though direct in vivo evidence is limited.","This complex is a heteromeric assembly of two class A G‑protein–coupled receptors (GPCRs), the dopamine D3 receptor (DRD3) and the endothelin B receptor (EDNRB). In human cells, co‑expression and physical interaction of DRD3 and EDNRB have been shown to modulate downstream signaling pathways, including altered Gαi/o‑mediated cAMP inhibition and Gαq/11‑mediated calcium mobilization. Heteromerization also affects ligand‑induced receptor internalization and β‑arrestin recruitment, potentially tuning neurovascular tone and dopaminergic neurotransmission.",• Dopamine receptor D3 (UniProt Q9GZN2); • Endothelin receptor type B (UniProt P24530),• DRD3; • EDNRB,(0.40 × 0.30) + (0.30 × 0.30) + (1.00 × 0.25) + (1.00 × 0.15); = 0.12 + 0.09 + 0.25 + 0.15; = **0.61**
zero-shot,Pikachurin–GPR179 (Egflam–Gpr179) synaptic adhesion complex,Homo sapiens,,"This extracellular complex bridges the photoreceptor ribbon synapse cleft in the retina, anchoring bipolar cell dendrites to photoreceptor terminals. It is essential for proper synaptic transmission and visual signal relay; mutations in either component cause congenital stationary night blindness.; Proteins in the complex (human):; • EGFLAM (a.k.a. Pikachurin); • GPR179; Corresponding human genes:; • EGFLAM (HGNC:19117); • GPR179 (HGNC:4619); Other organisms (of the five listed) in which this complex is found:; • Mus musculus (mouse)—orthologs Egflam and Gpr179 form a functionally similar complex in mouse retina; • Not detected or no clear orthologous complex in C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae; Self‑confidence score calculation:; consistency across sources (0.25 out of 0.30) + experimental support (0.25 out of 0.30) + protein–gene mapping accuracy (0.25 out of 0.25) + organism specificity (0.15 out of 0.15) = 0.25 + 0.25 + 0.25 + 0.15 = 0.90",,,
few-shot,Egflam–Gpr179 complex,Mouse,Human (orthologous EGFLAM–GPR179 interaction inferred from conserved retinal expression and genetic studies),Mediates the synaptic targeting and stabilization of the orphan GPCR GPR179 at the dendritic tips of depolarizing (ON) bipolar cells in the retina. This localization is essential for mGluR6–mediated signal transduction and normal scotopic (low‐light) vision.,- EGF-like and fibronectin type III domain-containing protein (EGFLAM); - G protein-coupled receptor 179 (GPR179),- Egflam; - Gpr179,(0.85 × 0.3) + (0.90 × 0.3) + (1.00 × 0.25) + (1.00 × 0.15); = 0.255 + 0.27 + 0.25 + 0.15; = **0.925**
contextual,EGFLAM–GPR179 complex,Human,"Mouse, Zebrafish","A trans‑synaptic adhesion/signaling complex at the photoreceptor ribbon synapse. EGFLAM is secreted by photoreceptor terminals and binds GPR179 on ON‑bipolar cell dendrites, organizing the postsynaptic mGluR6 signaling cascade required for normal signal transmission and night vision. Mutations in either partner cause congenital stationary night blindness.","• EGFLAM (EGF‑like, fibronectin type III and laminin G domain-containing protein); • GPR179 (Probable G‑protein coupled receptor 179)",• EGFLAM; • GPR179,(0.90 × 0.3) + (0.80 × 0.3) + (1.00 × 0.25) + (1.00 × 0.15)
zero-shot,CEACAM1-4L–Syk–TLR4 complex,Mus musculus,"Not reported in C. elegans, D. melanogaster, or S. cerevisiae; a human CEACAM1–Syk–TLR4 interaction has been proposed but lacks direct in‑vivo evidence.","Upon LPS stimulation, the long‑tail isoform of CEACAM1 (CEACAM1‑4L) recruits the tyrosine kinase Syk to the TLR4 signaling complex, dampening downstream NF‑κB activation and pro‑inflammatory cytokine release, and promoting receptor endocytosis for signal resolution.",,,
few-shot,Ceacam1-4L–Syk–Tlr4 complex,Mouse,"Not reported as a full Ceacam1‑4L–Syk–Tlr4 assembly in other species. Humans express CEACAM1, SYK, and TLR4 but lack a functional CEACAM4 ortholog; partial pairwise interactions occur but the four‐component complex appears restricted to mouse.; Self Confidence Score Calculation:; Consistency across sources (0.80 × 0.30) + Experimental support (0.70 × 0.30) + Protein–gene mapping accuracy (1.00 × 0.25) + Organism specificity (1.00 × 0.15); = 0.24 + 0.21 + 0.25 + 0.15 = **0.85**","This heteromeric receptor complex assembles on mouse neutrophils to couple CEACAM‐mediated binding of Gram‐negative bacteria to TLR4‐driven proinflammatory signaling. Upon LPS or bacterial engagement, CEACAM1‑4L and CEACAM4 recruit and activate spleen tyrosine kinase (Syk), which then cooperates with TLR4 to induce oxidative burst, phagocytosis, and downstream NF‑κB–dependent cytokine production.; Proteins and Corresponding Genes:; • Carcinoembryonic antigen‐related cell adhesion molecule 1, isoform 4L (protein: CEACAM1‑4L; gene: Ceacam1); • Carcinoembryonic antigen‐related cell adhesion molecule 4 (protein: CEACAM4; gene: Ceacam4); • Spleen tyrosine kinase (protein: SYK; gene: Syk); • Toll‐like receptor 4 (protein: TLR4; gene: Tlr4)",,,
contextual,Ceacam1‑4L‑Syk‑Tlr4 complex,Mouse (Mus musculus),This exact quaternary assembly (involving CEACAM4) is only described in mouse. Humans express CEACAM1 and TLR4 and recruit SYK in certain contexts but lack a direct CEACAM4 ortholog.,"In murine neutrophils and macrophages, engagement of the long‑cytoplasmic‑tail isoform of CEACAM1 (CEACAM1‑4L) together with GPI‑anchored CEACAM4 upon Gram‑negative bacterial or LPS stimulation drives phosphorylation of CEACAM1 ITIM/ITSM motifs, recruitment and activation of Syk kinase, and formation of a signaling scaffold with TLR4. This complex modulates downstream NF‑κB activation and cytokine release, fine‑tuning innate immune responses.",,,Consistency across databases/sources (0.80 × 0.3) + Supporting experimental data (0.70 × 0.3) + Protein–gene mapping accuracy (1.00 × 0.25) + Organism specificity (1.00 × 0.15); = 0.24 + 0.21 + 0.25 + 0.15 = **0.85**
zero-shot,• KDR–NRP1–VEGF165 signaling complex,• Homo sapiens,,"• Binds VEGF165 via NRP1 and KDR (VEGFR2); • Promotes endothelial cell proliferation, migration, survival and vascular permeability; • Central driver of angiogenesis and vascular homeostasis; Proteins in complex; • KDR (Kinase insert domain receptor; also called VEGFR2); • NRP1 (Neuropilin‑1); • VEGF165 (Vascular endothelial growth factor A, isoform 165); Corresponding genes; • KDR gene (Entrez Gene ID: 3791); • NRP1 gene (Entrez Gene ID: 8829); • VEGFA gene (Entrez Gene ID: 7422) – isoform 165; Other organisms in which this complex is found; • Mus musculus (mouse); Self‑confidence score calculation; 0.90×0.30 + 1.00×0.30 + 1.00×0.25 + 1.00×0.15 = 0.97",,,
few-shot,KDR–NRP1–VEGF165 complex,Human,Mouse,"This ternary complex mediates high‐affinity binding of the VEGF165 isoform to endothelial cell surfaces, promoting VEGFR2 (KDR) kinase activation, downstream signaling (e.g., PLCγ, MAPK, PI3K/Akt), and ensuing angiogenic processes such as endothelial proliferation, migration, and vascular permeability.",- Vascular endothelial growth factor receptor-2 (VEGFR2/KDR); - Neuropilin-1 (NRP1); - Vascular endothelial growth factor A isoform 165 (VEGF165),- KDR; - NRP1; - VEGFA,(0.9 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15); = 0.27 + 0.27 + 0.25 + 0.15; = **0.94**
contextual,KDR‑NRP1‑VEGF165 complex,Human,Mouse,"VEGF165 binds and bridges neuropilin‑1 (NRP1) to VEGF receptor 2 (VEGFR2/KDR), enhancing receptor dimerization and tyrosine kinase activation. This complex drives endothelial cell proliferation, migration, tube formation and vascular permeability during angiogenesis.",– Vascular endothelial growth factor A isoform 165 (VEGF165); – Neuropilin‑1 (NRP1); – Vascular endothelial growth factor receptor 2 (VEGFR2/KDR),– VEGFA; – NRP1; – KDR,(0.90 × 0.3) + (0.90 × 0.3) + (1.00 × 0.25) + (1.00 × 0.15) = 0.27 + 0.27 + 0.25 + 0.15 = **0.94**
zero-shot,Neuropilin‑1 (NRP1)–VEGF‑A₁₂₁ complex,Human,,"• Acts as a co‑receptor enhancing VEGF‑A₁₂₁ binding to VEGFR2; • Promotes endothelial cell migration, survival, and angiogenic sprouting; • Increases vascular permeability; Proteins in complex:; 1. Neuropilin‑1 (NRP1); 2. Vascular Endothelial Growth Factor A, isoform 121 (VEGF‑A₁₂₁); Corresponding human genes:; • NRP1 → NRP1; • VEGF‑A₁₂₁ → VEGFA; Other organisms (of the five listed) in which this complex is also found:; • Mouse (genes: Nrp1, Vegfa); Self‑confidence score calculation:; 0.9 × 0.3 + 0.8 × 0.3 + 1.0 × 0.25 + 1.0 × 0.15 = 0.91",,,
few-shot,NRP1–VEGF121 complex',Human',"Mouse, Zebrafish'","Neuropilin‑1 (NRP1) serves as a high‑affinity co‐receptor for the VEGF121 isoform of VEGF‑A, enhancing VEGFR2 signaling in endothelial cells to promote angiogenic processes such as cell migration, proliferation and vascular permeability.'","• Neuropilin‑1 (NRP1); • Vascular endothelial growth factor A, isoform VEGF121 (VEGFA121)'",• NRP1; • VEGFA',(0.90 × 0.3) + (0.90 × 0.3) + (1.00 × 0.25) + (1.00 × 0.15)
contextual,NRP1–VEGF121 complex,Human,Mouse,"In human vascular endothelial cells, neuropilin‑1 (NRP1) acts as a high‑affinity coreceptor for the VEGF‑A 121 isoform, enhancing VEGFR2‑mediated signaling to promote angiogenesis, endothelial cell migration, and vascular permeability.",- Neuropilin‑1; - Vascular endothelial growth factor A isoform 121 (VEGF121),- NRP1; - VEGFA,(0.95 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15); = 0.285 + 0.27 + 0.25 + 0.15; = **0.955**
zero-shot,KDR–VEGF165 complex (also called VEGFR‑2/VEGF165),Human,,"When VEGF165 binds the extracellular domain of KDR (VEGFR‑2), it induces receptor dimerization and activation of its intracellular tyrosine kinase. This signaling cascade drives endothelial cell proliferation, migration, survival and new blood‑vessel formation (angiogenesis).; Proteins in the complex and corresponding genes:; • KDR (Kinase insert domain receptor; alias VEGFR‑2); – Gene: KDR; • VEGF165 (Vascular endothelial growth factor A, isoform 165); – Gene: VEGFA; Other organisms (of the five listed) in which an orthologous complex is found:; • Mouse (orthologs: Kdr/Flk1 and Vegfa); 0.3*0.93 + 0.3*0.90 + 0.25*0.96 + 0.15*1.00 = 0.939",,,
